location,gender,category,target,time,day,date,year_month,like,after,comment_text
Others,male,SCB,I,18,Monday,2017/1/23,2017/01,5,田园 女权 少 ， 女权 发展 。 ,什么时候田园女权少了，女权发展应该就好了。
Sichuan,male,MA,G,18,Monday,2017/1/23,2017/01,7,""" 为啥 支持 “ 堕胎 权 ” 反对 “ 堕胎 权 ” 上街 反 特朗普 ， 真 “ 女权 ” 准话 好不好 ？ ","所以为啥支持“堕胎权”的和反对“堕胎权”的都一起上街反特朗普了，谁是真“女权”你给个准话好不好？,伊斯兰教徒根据伊斯兰教义天然反堕胎啊，就算没有这常识原po的上下文也告诉你了啊,一部分“女权”因为支持堕胎而反特朗普，另一部分“女权”因为反对堕胎而反特朗普，那么究竟哪边才是真“女权”？"
Oversea,female,MA,G,20,Monday,2017/1/23,2017/01,6,说法 ， 女权 支持 特朗普 ， 伊斯兰教 法对 女性 迫害 ， 特朗普 那点 性别歧视 连提 值得 提 ， 特朗普 伊斯兰 势力 扩展 反对者 。 真心 弄 懂 放着 绿教 怼 怼 特朗普 心态 ,如果按这个说法的话，女权是应该支持特朗普的，因为比起伊斯兰教法对女性的迫害，特朗普那点性别歧视连提都不值得提，而特朗普是伊斯兰势力扩展的有力反对者。所以我真心弄不懂她们放着绿教不怼怼特朗普是什么心态
Beijing,female,SCB,I,21,Monday,2017/1/23,2017/01,3,问问   为啥 不让 男票 带套   不带 套 性关系 不吃 避孕药   怀孕 堕胎   堕胎 钱 政府 ,那就问问 为啥自己不让男票带套 不带套发生性关系之后不吃避孕药 直到要怀孕了才堕胎 堕胎的钱还要政府管
Beijing,female,SCB,I,9,Tuesday,2017/1/24,2017/01,9,支持 女性 自主 生育权 ， 支持 国家 付费 堕胎 ,我支持女性有自主生育权，但不支持由国家付费堕胎
Others,male,MA,G,11,Tuesday,2017/1/24,2017/01,3,能耐 找 本国 赵爷 要钱 ， 我国 女权 特色 又红又专 ， 随便 接受 国 施舍 ,有能耐找本国的赵爷要钱啊，我国女权的特色不是又红又专吗，怎么能随便接受他国施舍
Others,female,SCB,G,16,Tuesday,2017/1/24,2017/01,0,喷子 女权 ， 女权 喷 鼓励 未婚 生育 直 男 ,那些喷子根本不是真正的女权啊，女权哪里会喷鼓励未婚生育的直男啊
Others,female,MA,I,20,Tuesday,2017/1/24,2017/01,3,倡导 理念 诉求 ， 迫切 处境 自有 判断 。 女权主义者 重点 放在 反 歧视 支持 神权 ？ 愚蠢 。 ,人们在倡导一些理念的时候当然有自己具体的诉求，那个更迫切她们根据自己的处境自有判断。女权主义者将重点放在反歧视上是表示他们支持神权吗？我看你比较愚蠢吧。
Shandong,female,SCB,G,22,Tuesday,2017/1/24,2017/01,1,哗众取宠 ！ 第一 ， 打人 错 ， 性别 信仰 立场 。 ， 刻意 性别 ？ 男人 女人 女人 维护 ， 忽略 立场 信念 ， 女权主义者 反 女权主义者 工作者 女权主义者 维护 ， 表述 差别 太 ， 混淆视听 。 第三 ， 被打者 服务 报社 做 ？ ,哗众取宠！第一，打人行为是错的，这个无论性别信仰和立场。第二，为何要刻意强调性别？强调是男人打女人却获得了其他女人的维护，而忽略了立场和信念，是女权主义者打了反女权主义者的工作者而后被女权主义者维护，两者表述差别太大，混淆视听。第三，被打者服务报社做了什么？
Beijing,male,MA,G,0,Wednesday,2017/1/25,2017/01,2,， 女 无辜 ， 女 满血 ob ， tm 女权 维护 鸡巴 ? 女权 维护 女性 权益 ? 人身安全 威胁 人站 发声 维权 ? 智障 玩意 ,啊，一个女的无辜被打，其他女的就满血ob，那tm的你们女权维护的是个鸡巴?女权维护的难道不是女性的权益?最基本的人身安全受到威胁都没有人站出来发声还维权什么?智障玩意
Jiangsu,male,MA,I,1,Wednesday,2017/1/25,2017/01,1,""" 女 穆斯林 游行 演讲 站台 ？ ","原来那个女穆斯林在游行上演讲不是站台？,拉宗教极端分子来给女权站台，人家是支持沙利亚法的。拉的人是蠢还是坏？需要这种支持迫害女性的势力来给女权站台（别跟大家说穆斯林尊重女性）？要男女平权，宗教势力本身都是应该打到的！基本的逻辑看得懂吗？脑子一团浆糊就别出来丢人现眼了！"
Beijing,male,MA,I,7,Wednesday,2017/1/25,2017/01,1,事情 性别 女权 婊所干 ？ 性别 y 意识 ,任何事情都强调性别不正是你们女权婊所干的吗？所谓的性别y意识呵呵
Beijing,male,SO,I,7,Wednesday,2017/1/25,2017/01,1,意见 动 拳头 ， 暴力 解决问题 ， 游行 ， 女权 人手 一只 口径 手枪 突突 死 看不顺眼 ,如果和你意见不同就要动拳头，以暴力解决问题，那何必游行呢，女权们人手一只大口径手枪突突死看不顺眼的多好
Others,male,MA,G,9,Wednesday,2017/1/25,2017/01,0,""" 现场 支持 穆斯林 支持 女权 精神分裂 ","现场同时支持穆斯林支持女权的人根本精神分裂,以后写的让她看得懂才不会被拉黑"
Others,female,SCB,I,15,Sunday,2017/2/19,2017/02,0,哈哈哈 同意 ， 田园 女权 直 男癌 本质区别 。 ,哈哈哈同意，田园女权和直男癌并没有本质区别。
Ningxia,female,MA,I,15,Friday,2017/3/24,2017/03,0,绿绿 套路   屌 癌 杀 女婴 强 j 女性   温和 屌 癌 洗 一竿子打 翻一船 屌   谴责 屌 ,这不就是绿绿套路吗 极端屌癌杀女婴强j女性 温和屌癌洗地说不要一竿子打翻一船屌 但是他们自己不会去谴责极端屌
Hong Kong,female,MA,G,4,Saturday,2017/6/3,2017/06,0,女权 婊们 发泄 ， 键盘 敲得 啪啪 响 ， 现实 做些 ？ ,女权婊们就单纯发泄一下，键盘敲得啪啪响，现实能做些什么？
Others,female,MA,I,12,Tuesday,2017/6/13,2017/06,0,自我 中心 打着 女权 旗号 特权 ， 私心 扣 歧视 压迫 女性 帽子 ， 典型 特征 双标 ， 自我 中心 伪 女权主义者 批判 歧视 男性 现象 ,很多以自我为中心的人是打着女权的旗号要特权，只要没满足他们的私心就给你扣上歧视压迫女性的帽子，他们的典型特征就是双标，因为从来没看到这些以自我为中心的伪女权主义者批判歧视男性的现象
Others,female,SCB,I,12,Tuesday,2017/6/13,2017/06,0,， 受不了 伪 女权主义者 扣 帽子 ,是的，主要是受不了那些伪女权主义者动不动就给别人扣上帽子
Others,male,SO,I,6,Friday,2017/6/30,2017/06,0,估计 亲爸 强奸   男女 新闻   跳 ,估计从小被亲爸强奸把 一看到关于男女那个什么新闻 就立马跳出来
Others,male,SCB,I,12,Friday,2017/6/30,2017/06,0,高考 400 分 理 工矿业 军警 985211 院校 招 男生 ， 馋 懒 工作 性别歧视 赚 月薪 2000 ， 贷款 买 iPhone 自吹 优秀 不行 中国 男人 配不上 卖 父母 祖宅 美国 买个 精子 生个 混血儿 最吊 ， 中国 没请 女皇 真是太 腐朽 屌 癌太多 ,虽然高考不到400分但凭什么理工矿业军警各985211院校招的男生多，自己又馋又懒没好工作然而都怪性别歧视赚着月薪2000，拿着贷款买的iPhone自吹优秀哎不行中国男人都配不上她们只能卖了父母的祖宅去美国买个精子生个混血儿最吊，中国没请她出来当女皇真是太腐朽了还不是因为屌癌太多
Others,female,MA,G,20,Monday,2017/7/3,2017/07,0,这类 女生 阻止 女性 平权 运动 推进 ！ ,就是这类的女生阻止了女性平权运动的推进啊！
Guangxi,male,MA,I,12,Tuesday,2017/7/4,2017/07,0,@ 索玛 女王   八 男人 ， “ 生理 男性 ， 想 癞 屎 心理变态 。 ” 真身 晓光 ， 女权 帮 站台 ， 想 上位 ， 日薄西山 。 ,@索玛女王 八其实是男人，“生理男性，想当癞屎的心理变态。”现在真身晓光，女权都不帮他站台了，还想再重新上位已经不可能了，日薄西山啊。
Guangxi,male,SCB,I,22,Tuesday,2017/7/4,2017/07,1,女性 车厢 ， 咬人 ； 女性 车厢 ， 咬 ； 咬人 愿班 人马 。 伺候 这班 大爷 ， 社会 关爱 女性 ， 但别 取悦 女权 ， 更别 配合 打着 扛着 女权 大旗 迫害 女性 。 ,没有女性车厢，它们咬人；有女性车厢，它们还咬人；而且咬人的还是愿班人马。以后别伺候这班大爷，社会关爱女性是必须的，但别取悦女权，更别配合它们打着扛着女权大旗迫害女性。
Anhui,female,MA,I,16,Saturday,2017/7/8,2017/07,0,女人 男人 ， 逼急 。 男人 女人 ， 女人 先 动手 ， 男 渣 ,女人打男人，肯定是逼急了。男人打女人，哪怕是女人先动手，也是男的渣
Guangdong,female,MA,I,10,Sunday,2017/7/9,2017/07,4,逻辑 醉 ， 一辈子 活在 社会 人文 关怀 下才 ？ 残疾人 受 社会 关怀 区别 ？ 男女平等 ， 男女 社会 机会 平等 ， 惩罚 罪犯 受害者 关 ？ 说实话 男权 附属品 谢谢 ,看到你这逻辑也是醉，所以你是觉得该一辈子活在社会人文的关怀下才？这跟残疾人受社会关怀有什么区别？所谓男女平等，就是让男女在社会上的机会和对待平等，所以你是觉得不应该惩罚罪犯而是应该把受害者关起来？说实话你这种才是男权的附属品谢谢
Beijing,male,MA,I,10,Sunday,2017/7/9,2017/07,0,女人 永远 错 ， 杀人 同情 。 ,女人永远没有错，即使是杀人也该被人同情。
Sichuan,female,MA,I,11,Sunday,2017/7/9,2017/07,1,说得好 ！ 设 女性 车厢 一看 男权 体现 ， 粗暴 划定 保护区 ， 女 乖乖 呆 。 。 走 车厢 骚扰 ， 活该 。 。 ,说得好呀！设女性车厢一看就是男权的体现呀，简单粗暴的划定一个所谓的保护区，女的就乖乖呆在里面吧。。走到普通车厢被骚扰了，就叫活该吧。。
Oversea,male,MA,I,17,Friday,2017/7/14,2017/07,4,    想 不劳而获       付出     想得到     得不到     妈卖批     男人 死光     累觉 爱     生活     一副 b 有理 ， 不照 照镜子 。 ,最重要的是  光想不劳而获   不付出  想得到  得不到  妈卖批  什么好男人都死光了  什么累觉不爱了  什么一个人生活怎么怎么了  整个一副我有b我有理的样子，自己也不照照镜子。
Chongqing,male,SCB,I,18,Wednesday,2017/7/19,2017/07,2,真 恶心 。 一圈 这群 女犬 微博 ， 三观 尽毁 ,真恶心。看了一圈这群女犬的微博，简直是三观尽毁
Beijing,male,MA,I,23,Wednesday,2017/7/19,2017/07,0,""" 素质 行 ， 女权 婊 侮辱 全家 女性 。 ， 口称 女权 ， 张嘴 骂人 妈 。 ","你遇到的素质还行，我遇到的女权婊直接开始侮辱我全家女性。呵呵，口称女权，张嘴就骂人妈。,我们不做点什么的话，有一天你周围都会是这样的女权婊"
Chongqing,male,SCB,I,23,Wednesday,2017/7/19,2017/07,0,""" 妈妈 妓女 ， 妈妈 男人 床 生 ， 妓女 生 婊子 养 杂种 。 素质 不用 提 素质 字 。 ","下一次你就说它们的妈妈都是妓女，它们的妈妈不知道和多少男人上了床才把它们生出来，它们是妓女生的婊子养的杂种。跟它们那些没素质的东西不用提素质两个字。,在此之前我从来没有在微博上说过一句脏话。当然，今天的我也不觉得女犬这个词语是什么脏话。,以前在一个女犬的微博评论了一次，仅仅是评论了一次，就被这个女犬及其粉丝反呛。我说我偶尔发个评论居然就被这么反呛，都不知道怎么说话了，这个女犬的粉丝就说什么“不会说话就闭上嘴别说，我要是有这么厉害能让你因为不知道怎么说话而不说话了，我也算立功了”，着实恶心死我了"
Oversea,female,MA,I,21,Thursday,2017/7/20,2017/07,0,""" 女权 斗士 ","他们还觉得自己是女权斗士,我觉得真的氛围比较和谐、男女权利更加平等的大城市里都不会有这样的人存在，只有小地方资源匮乏才这么没有道德观念，这已经是最底层的道德观了"
Others,male,SO,I,8,Thursday,2017/8/3,2017/08,0,绝种 贱 男 ， 不知自爱 ， 自强 。 女人 ， 好坏 ， 美丑 。 跪 舔 。 真他妈 贱 。 ,可是有些绝种贱男，真的不知自爱，自强。一见到女人，不管好坏，美丑。立即跪舔。真他妈贱。
Shaanxi,male,MA,G,8,Friday,2017/8/18,2017/08,0,同感     秋水 渣 渣     主角 光环 无敌     放 现实 中     撇不清 不明 三角 关系     秋水 早 踹 ,同感  秋水渣的不能再渣  主角光环简直无敌  放现实中  这样撇不清说不明的三角关系  秋水怕早被踹了吧
Jiangsu,female,SCB,G,20,Thursday,2017/8/24,2017/08,1,“ 生 女孩 等于 断子绝孙 ， 绝户 ” ： 静静 围观 多出 几千万 男性 ， 断子绝孙 ,“生女孩等于断子绝孙，绝户了”：静静围观多出的几千万男性，如何靠自己做到不断子绝孙
Fujian,male,SCB,G,1,Sunday,2017/8/27,2017/08,0,""" 心态 常态 ， 希望 借助 帮 改成 想要 。 有点像 我国 jc 家暴 ， 接警 男 抓走 ， 女 撒泼 。 始终 记得 话 ， ， 希望 改好 就行了 ","这种心态其实就是人的常态啊，希望借助她人帮她改成自己想要的。这就有点像在我国jc处理家暴，接警后把男的抓走，然后女的就开始撒泼了。我始终记得一句话就是，哎呀，我就只是希望你们让他改好就行了,嘛，因为原po在这方面的描述有缺失啦。我个人是认为双方见过父母，可能在相处过程中已经在考虑结婚了。虽然有些话难听，但是婚姻真的就是家庭的事了，养猫可以，但是结婚后就要考虑很多事情，再只顾虑自己就真的是自私了。其实这男的就应该和女方说清楚，真的没法接受就别处了。而不是网上来求助,对啊。明明是三观不一致，偏偏硬要分个三六九，讲真不养猫狗的人不懂这些不是很正常吗。我妈也觉得猫狗随便养养就好了，这纯粹就只是观念问题啊，在我看来很正常啊，我只觉得评论很可怕，我是讨厌结婚啦。但是微博上这种女人结婚就是失败，在家生孩子带孩子就是失败的观念到底是咋想的"
Yunnan,female,MA,I,21,Tuesday,2017/8/29,2017/08,1,伪 女权 ， 打着 女权主义 旗号 玩着 双标 ， 立场 站 。 小姐姐 ， 小姐姐 思想 立场 ， 知乎 以偏概全 否定 一类 言论 ， 本来 思考 严谨 带有 偏见 ， 讨论 女权主义 ， 思维 模式 依然 ， 小姐姐 在意 言论 ,现在确实有很多伪女权，打着女权主义的旗号玩着双标，她们的立场都站是在自己有利的一边。但小姐姐和她们不一样，我觉得小姐姐有思想也有立场，至于知乎上那个以偏概全否定一类人的言论，本来就是思考不严谨带有偏见，就算讨论的不是女权主义是其他，他们的思维模式依然如此，小姐姐不必在意这种言论啦
Others,female,SCB,G,22,Tuesday,2017/8/29,2017/08,5,笑 死   农村妇女 男人 养 ？ 农村妇女 男人 奴隶 ， 农村 男 压榨 劳动力 ， 做 农活 做 家务 养 孩子 样样 ， 男人 崽 ， 农村妇女 涌到 大城市 打工 ， 低端 岗位   体力劳动   重复性 工作   学历 文化   条命 动弹 就行   劝 早点 女人 男人 养 梦里 醒来 ， 谢谢 ,我真是笑死 农村妇女靠男人养？农村妇女是男人的奴隶才对，农村男压榨她们的劳动力，做农活做家务养孩子样样都来，还要不断给男人下崽，多的是农村妇女涌到大城市打工，大把低端岗位 体力劳动 重复性工作 不需要学历和文化 有条命能动弹就行 我劝你早点从你的女人靠男人养的梦里醒来，谢谢
Shandong,male,SO,G,4,Friday,2017/9/1,2017/09,19,""" 躲 角落里 人理 垃圾 可怜   抱 公狗 爸 死 ","躲在角落里没人理的垃圾真是可怜 抱着你公狗爸一起死吧,穷屌癌什么都买不起只知道喷 再喷你也是个没人要疯屌癌而已 抱着你妈使劲肏啊"
Others,male,MA,I,3,Saturday,2017/9/2,2017/09,20,兄弟 ， 炸 三只 女权 婊咯 ， ,兄弟们看见没，炸出三只女权婊咯，可以
Henan,female,SO,I,15,Saturday,2017/9/2,2017/09,67,男人 女人 文化 心理 阳痿 弱 b 心态 ， 生理 阳痿 敢找 处女 ,男人怕女人有文化就是心理阳痿的弱b心态，就像生理阳痿的只敢找处女一样
Hubei,female,MA,G,15,Saturday,2017/9/2,2017/09,46,， 江西 男 “ 女子 无才 便是 德 ” ， 尼玛 没事 聊 几句 天想 diss ， 讲 教育 女儿 ， 没错 ， 女奴 那套 。 回 ： 女儿 真惨 ！ 扯淡 ， 没事 回家 帮 老婆 孩子 。 ,是，有江西男的跟我说“女子无才便是德”，又尼玛没事跟我聊几句天想diss我，还跟我讲他会怎么教育他女儿，没错，就是女奴那套。我回他：你女儿真惨！你不要跟我扯淡了，没事就回家帮你老婆带孩子吧。
Sichuan,male,MA,I,15,Saturday,2017/9/2,2017/09,12,男 真 没出息 ， 理论 赢 胡搅蛮缠 ， 不可理喻 。 不配 讲道理 ， 蠢真 听不懂 ， 假装 听不懂 ,这男的真没出息，理论不能赢就胡搅蛮缠，简直不可理喻。这种人真的都不配让我们和他讲道理，要么就是蠢真听不懂，要么就是假装听不懂
Others,female,MA,I,15,Saturday,2017/9/2,2017/09,1,哈哈哈哈   周末 看木木 微博 弱 男 屌丝 diss   输不起 真 好笑 ,哈哈哈哈 今天周末看木木微博这些弱男屌丝的diss 如此输不起的他们看着真好笑
Oversea,female,MA,G,15,Saturday,2017/9/2,2017/09,29,… … 严肃 男人 科普知识 ， 含糊 一副 聊 赶紧 转移 话题 ， 哈哈哈 科普 你好 烦 脑子 清静 知识 ， ， 太晚 睡 。 女 ， 夸奖 厉害 男朋友 。 ,嗯……每当我严肃的给男人们科普知识的时候，他们要么含糊着嗯嗯嗯一副他不了解聊不下去了的样子赶紧转移话题，要么哈哈哈又来科普了你好烦我的脑子需要清静不需要知识，要么哦，要么太晚了我们睡吧。女人们就不一样了，她们会夸奖我好厉害哦要我当她们的男朋友。
Oversea,female,MA,G,15,Saturday,2017/9/2,2017/09,118,骗 懂 女人 骂 打压 ， 不住 特权 跳脚 滑稽 。 屌 癌 屌 思考 ， 智商 捉急 ,骗不懂女人了就骂就打压，掌握不住特权了就跳脚真是滑稽。屌癌真是用屌思考，智商捉急
Others,male,SO,G,15,Saturday,2017/9/2,2017/09,12,妈 天天 操哟 ， 请问 妈 逼癌 ， 假 阳具 妈 ， 狗 爹 ,你妈天天被你操哟，请问你妈下面逼癌了吗，你用假阳具上你妈，你的狗爹知道吗
Beijing,female,SCB,I,15,Saturday,2017/9/2,2017/09,34,“ 牙 尖嘴利   一点 亏 吃不得   一点 苦 受不了   咄咄逼人   性格 霸道   男人 ”   ：   ？ ,我从小就被人这么说“哎哟牙尖嘴利 一点亏吃不得 一点苦受不了 咄咄逼人 性格霸道 哪个男人要你哦” 我： 这不就对了吗？
Others,female,SCB,I,16,Saturday,2017/9/2,2017/09,51,女方 婚后 轻松 快乐 离婚 分到 财产 舒服 日子 ， 太 公平 ！ 妒忌 ！ 恨 根源 。 ,女方婚后轻松快乐离婚还能分到财产继续过舒服日子，太不公平啦！妒忌啊！才是恨的根源。
Others,female,SCB,G,16,Saturday,2017/9/2,2017/09,1,只会 回家 骂 老婆 “ 教养 孩子 ” 。 子不教 ， 家庭主妇 妈妈 。 反正 干 尊贵 男人 错 ,不过像他这样的也只会回家骂老婆“怎么教养孩子的”吧。子不教，家庭主妇妈妈之过。反正不是他们这样干大事的尊贵男人的错
Others,female,SCB,I,16,Saturday,2017/9/2,2017/09,0,此生 天天 搬 砖 ， 此生 骂 2 胎 生不出 男婴 。 群体 这辈子 ,如果他此生只能天天搬砖，她此生被骂2胎还生不出男婴。这样的群体心里清楚这辈子就这样了
Others,female,SCB,I,16,Saturday,2017/9/2,2017/09,0,女子 无才 便是 德   懂   年轻 ,女子无才便是德 最好啥都不懂 最好还年轻
Oversea,female,MA,I,16,Saturday,2017/9/2,2017/09,17,翻译 聪明 ， 女 本位 意识 ， 自我 保护意识 ， 男人 吸 血 ， 男人 占 便宜 打压 ,翻译过来就是你这么聪明，这么有女本位意识，这么有自我保护意识，哪个男人能够吸你的血，让男人占不到便宜我就要打压你
Others,female,MA,I,16,Saturday,2017/9/2,2017/09,3,男人 欺压 男人 代价 高 。 压榨 善于 奉献 道德 绑架 生活 洗脑 环境 里 女人 手软 ,男人欺压男人代价较高。压榨善于奉献又容易被道德绑架生活在洗脑环境里的女人可是不会手软的
Others,female,MA,I,16,Saturday,2017/9/2,2017/09,29,出轨 认定 过错 ， 法律 强行 “ 净身 出户 ” 受害 一方 大笔 赔偿 ， 想到 婚内 出轨 男性 ， 女 吃亏 ？ ！ 出轨 想 离婚 合法 绝大多数 财产 ？ ！ ,出轨并不能认定过错，不能法律强行“净身出户”或给受害一方大笔赔偿，突然想到婚内出轨难道不是男性较多吗，那不还是女的在吃亏吗？！被出轨了想离婚还不能合法得到绝大多数财产？！
Beijing,female,SCB,I,16,Saturday,2017/9/2,2017/09,13,  好多 出轨 女人 光屁股 滚蛋 ,确实不能 好多被出轨的女人还光屁股滚蛋了
Guangdong,male,MA,G,17,Saturday,2017/9/2,2017/09,0,哈哈哈   傻 b 男人 太   不太懂   偷着乐 ,哈哈哈 傻b男人太多 不太懂 我就自己偷着乐
Hainan,female,MA,I,18,Saturday,2017/9/2,2017/09,0,， 太弱 ， 经不起 女人 头脑 ， 觉悟 讽刺 打击 ,对，太弱，经不起女人有头脑，一旦你有觉悟马上讽刺你打击你
Shanghai,female,MA,I,18,Saturday,2017/9/2,2017/09,0,  男人 出轨 净身 出户 。 法律 人人平等 ， 这才 男女平等 ,你应该跟他说 男人那么多出轨的也没净身出户啊。法律面前人人平等，这才叫男女平等
Others,male,MA,I,19,Saturday,2017/9/2,2017/09,4,男人 眼里     本事 女人 妓女       搞不到 死 掉     舒心 ,在一些男人眼里  有本事的女人可能比妓女还不如   自己搞不到的最好死掉  才比较让人舒心些
Others,female,MA,I,22,Saturday,2017/9/2,2017/09,11,， 从量 女 这条 法律 坑 ， 好不容易 出个 女 这条 恶心 男 ， ， 好多 女人 骂 … … ,就是呀，从量上一直就是女的被这条法律坑的多，好不容易出个女的能用这条去恶心男的，高兴都来不及，结果好多女人还再骂她……
Guangdong,male,MA,I,8,Sunday,2017/9/3,2017/09,0,男女平等 ， 男人 挪到 女人 不合理 ， 耍流氓 。 ,既然要男女平等，一切用在男人上挪到女人上面认为不合理的，都是耍流氓。
Oversea,female,MA,I,10,Sunday,2017/9/3,2017/09,1,""" 再不然 塞隆 。 拍拖 结婚 ， 领养 孩子 。 ","再不然塞隆也可以。只拍拖不结婚，领养孩子。,我的偶像是李泽楷 有钱 有人替你生儿子 自己还到处换女友。我要自己选择好基因生孩子，让男人女人自己争取育儿权利。"
Others,male,MA,I,14,Monday,2017/9/4,2017/09,11,逼癌 女犬 天天 狗吠 卖不出去 没人要 劣质 b ， 可怜 只好 妈 玩 拉拉 ， 妈用 手指 操 婊子 ,逼癌女犬天天狗吠也是个卖不出去没人要的劣质b啊，可怜你只好跟你妈玩拉拉了，被你妈用手指操了很多次了吧婊子
Henan,female,MA,I,10,Tuesday,2017/9/5,2017/09,0,娱乐圈 出轨 男 得数 ， 没见 骂 马蓉 惨 ， 照样 混 风生水 ,娱乐圈出轨的男的多得数不过来，也没见哪个被骂得像马蓉那么惨，照样混的风生水起呀
Hubei,female,MA,G,14,Tuesday,2017/9/5,2017/09,0,女朋友 挺 ， ， 未婚 未育 女生 太 ， 想 不累 ？ 规划 到时候 赶不上 变化 ！ 强势 适合 结婚 ！ ,我的女朋友们有的觉得挺好，有的觉得，你一未婚未育的女生知道的也太多了吧，你想那么多你不累吗？你规划那么好到时候还是赶不上变化！你这么强势你不适合结婚！
Guangxi,male,MA,G,16,Thursday,2017/9/7,2017/09,20,女人 ， 男人 想法 屌 癌 无疑 ,对于某些女人来说，只要男人的想法跟她不一样就是屌癌无疑了
Others,male,MA,I,16,Thursday,2017/9/7,2017/09,15,女权 癌 挺 可怕 ， 斗殴 中 一男一女 ， 是非   女人   明明 打人 成 女人 ,女权癌也挺可怕，斗殴中只要是一男一女，不问是非直接一句 不管如何打女人就是不对 明明打人不对被说成打女人不对
Oversea,female,MA,I,16,Thursday,2017/9/7,2017/09,7,百度 女权 基佬 批斗 ,百度女权吧确实是连基佬一起批斗的
Oversea,male,MA,G,16,Thursday,2017/9/7,2017/09,0,喷 msl 少管 爱看 ， 抗议 感觉 迫害 直 男癌 ,喷msl被说少管我们爱看什么，然后表示抗议就被说是容易感觉被迫害的直男癌
Beijing,male,MA,G,16,Thursday,2017/9/7,2017/09,4,男 直 男癌 ， 网上 发言 键盘 侠 。 ,基本上只要是男的都是直男癌，只要网上发言的都是键盘侠。
Shanghai,male,MA,G,17,Thursday,2017/9/7,2017/09,11,国内 网络 活跃度 基进 派 女权 （ 提 父权 ） ， 类 思潮 北美 80 年代 特别 火 ， 没落 原因 LGBT 太惨 。 有个 经典 ， 生理性 女性 后天 选择 做 男人 ？ 做 这类 选择 女性 父权 压迫者 一份 子 ？ ,国内网络上活跃度最高的其实多数都是基进派女权（特点是总是提父权），这类思潮在北美80年代特别火，后来没落很重要原因就是被LGBT打的太惨。有个经典问题，生理性别的女性为什么不能在后天选择做男人呢？做了这类选择的女性也变成父权压迫者的一份子了吗？
Fujian,male,MA,G,17,Thursday,2017/9/7,2017/09,2,跪 地上 女人 磕头 喊 祖宗 直 男癌 ？ ,不跪在地上给女人磕头喊祖宗的都是直男癌有什么问题吗？
Oversea,male,SCB,G,17,Thursday,2017/9/7,2017/09,8,佩服 国外 真 · 女权 人士   追求 平等权利     国内 田园 女权   特权 ,我很佩服国外一些真·女权人士 为追求平等权利  而国内大部分都是田园女权 基本上都是为了拿特权
Qinghai,male,SCB,G,17,Thursday,2017/9/7,2017/09,0,女权 讲道理 ？ 摸 花 衬衫 自问 ， Feminazi ， 女人 纳粹 讲道理 对象 ,你跟女权讲道理？摸着花衬衫自问一下，Feminazi啊，女人和纳粹哪个是讲道理的对象
