location,gender,category,target,time,day,year_month
Guangdong,male,MA,I,8,Sunday,2017-09
Oversea,female,MA,I,10,Sunday,2017-09
Others,male,MA,I,14,Monday,2017-09
Henan,female,MA,I,10,Tuesday,2017-09
Hubei,female,MA,G,14,Tuesday,2017-09
Guangxi,male,MA,G,16,Thursday,2017-09
Others,male,MA,I,16,Thursday,2017-09
Oversea,female,MA,I,16,Thursday,2017-09
Oversea,male,MA,G,16,Thursday,2017-09
Beijing,male,MA,G,16,Thursday,2017-09
Shanghai,male,MA,G,17,Thursday,2017-09
Fujian,male,MA,G,17,Thursday,2017-09
Oversea,male,SCB,G,17,Thursday,2017-09
Qinghai,male,SCB,G,17,Thursday,2017-09
Hunan,male,MA,I,17,Thursday,2017-09
Beijing,female,MA,I,18,Thursday,2017-09
Hubei,male,MA,I,18,Thursday,2017-09
Others,female,MA,I,19,Thursday,2017-09
Heilongjiang,female,MA,I,19,Thursday,2017-09
Guangdong,male,MA,I,20,Thursday,2017-09
Beijing,male,SCB,I,10,Friday,2017-09
Sichuan,female,MA,G,2,Saturday,2017-09
Shanghai,male,MA,I,21,Saturday,2017-09
Shandong,male,MA,I,18,Tuesday,2017-09
Guangdong,male,MA,I,10,Wednesday,2017-09
Hong Kong,female,MA,G,23,Wednesday,2017-09
Beijing,female,MA,I,9,Friday,2017-09
Hubei,male,SO,I,17,Friday,2017-09
Liaoning,female,SCB,G,22,Monday,2017-09
Shandong,female,MA,G,1,Wednesday,2017-09
Others,female,MA,G,10,Saturday,2017-09
Others,female,SCB,I,2,Tuesday,2017-09
Others,female,SO,G,23,Wednesday,2017-09
Beijing,male,MA,I,23,Wednesday,2017-09
Others,female,SCB,I,23,Wednesday,2017-09
Shaanxi,female,MA,I,0,Thursday,2017-09
Oversea,female,MA,I,0,Monday,2017-10
Oversea,female,SCB,I,0,Monday,2017-10
Others,female,MA,I,19,Sunday,2017-10
Oversea,female,SCB,G,21,Sunday,2017-10
Shandong,female,MA,I,21,Wednesday,2017-10
Tianjin,male,SCB,I,11,Thursday,2017-10
Oversea,male,SCB,G,11,Thursday,2017-10
Hubei,female,MA,I,11,Thursday,2017-10
Shanghai,male,SCB,G,12,Thursday,2017-10
Oversea,female,SCB,G,12,Thursday,2017-10
Zhejiang,female,SCB,G,14,Thursday,2017-10
Henan,male,SCB,I,15,Thursday,2017-10
Jiangsu,female,MA,I,18,Thursday,2017-10
Hubei,female,SCB,G,19,Thursday,2017-10
Guangdong,male,SCB,I,20,Thursday,2017-10
Jiangsu,male,MA,G,23,Sunday,2017-10
Jiangsu,female,MA,I,0,Thursday,2017-10
Jiangsu,female,MA,I,22,Thursday,2017-10
Jiangsu,female,SCB,G,12,Friday,2017-10
Beijing,male,MA,I,13,Friday,2017-10
Oversea,male,MA,I,23,Friday,2017-10
Beijing,male,MA,G,0,Saturday,2017-10
Others,male,MA,I,2,Saturday,2017-10
Sichuan,male,MA,G,17,Saturday,2017-10
Henan,male,SCB,G,19,Saturday,2017-10
Oversea,female,SO,G,18,Sunday,2017-10
Others,female,MA,G,20,Sunday,2017-10
Others,female,SCB,G,21,Sunday,2017-10
Shanghai,female,MA,G,22,Sunday,2017-10
Others,female,SCB,G,11,Monday,2017-10
Shanghai,female,MA,I,11,Tuesday,2017-10
Beijing,female,MA,I,11,Tuesday,2017-10
Zhejiang,male,SCB,G,12,Tuesday,2017-10
Oversea,female,MA,I,13,Tuesday,2017-10
Oversea,female,MA,I,19,Tuesday,2017-10
Shandong,female,MA,G,23,Tuesday,2017-10
Shanghai,male,MA,I,21,Wednesday,2017-10
Shanghai,male,SCB,I,21,Wednesday,2017-10
Shanghai,male,MA,G,21,Wednesday,2017-10
Hubei,male,SA,G,21,Wednesday,2017-10
Shanghai,female,MA,I,22,Wednesday,2017-10
Fujian,female,SCB,I,23,Wednesday,2017-10
Beijing,male,MA,I,23,Wednesday,2017-10
Shandong,female,MA,I,12,Thursday,2017-10
Others,female,MA,I,12,Thursday,2017-10
Guangdong,female,MA,G,13,Thursday,2017-10
Oversea,male,SCB,I,13,Thursday,2017-10
Beijing,male,MA,G,13,Thursday,2017-10
Oversea,female,MA,G,13,Thursday,2017-10
Beijing,male,SCB,I,13,Thursday,2017-10
Henan,female,SCB,I,14,Thursday,2017-10
Beijing,male,SCB,I,16,Thursday,2017-10
Hubei,female,MA,G,17,Thursday,2017-10
Oversea,female,MA,I,2,Friday,2017-10
Others,female,MA,I,10,Friday,2017-10
Others,female,MA,G,10,Friday,2017-10
Guangdong,female,MA,I,13,Friday,2017-10
Shanghai,female,MA,I,13,Friday,2017-10
Jiangsu,male,SCB,G,14,Friday,2017-10
Anhui,male,MA,I,14,Friday,2017-10
Anhui,male,MA,I,15,Friday,2017-10
Others,male,SCB,G,17,Friday,2017-10
Jiangsu,female,MA,I,21,Friday,2017-10
Others,female,MA,I,21,Sunday,2017-10
Jiangsu,female,MA,G,23,Sunday,2017-10
Sichuan,female,MA,G,0,Monday,2017-10
Tianjin,male,MA,I,0,Monday,2017-10
Others,female,SCB,I,2,Monday,2017-10
Jilin,male,SCB,I,2,Monday,2017-10
Jilin,male,SCB,I,2,Monday,2017-10
Sichuan,male,MA,I,11,Monday,2017-10
Beijing,male,SCB,I,11,Monday,2017-10
Henan,male,MA,I,14,Monday,2017-10
Beijing,male,MA,G,16,Monday,2017-10
Guizhou,male,MA,I,19,Monday,2017-10
Sichuan,male,MA,G,7,Tuesday,2017-10
Others,male,MA,I,12,Tuesday,2017-10
Jiangsu,male,SCB,G,14,Tuesday,2017-10
Oversea,female,SCB,I,19,Saturday,2017-11
Beijing,male,SCB,I,21,Monday,2017-11
Heilongjiang,male,SCB,G,21,Monday,2017-11
Sichuan,female,SCB,I,4,Friday,2017-11
Guizhou,female,SCB,G,15,Friday,2017-11
Sichuan,female,MA,G,22,Friday,2017-11
Shanghai,female,MA,I,19,Sunday,2017-11
Others,male,MA,I,16,Monday,2017-11
Beijing,male,MA,I,16,Friday,2017-11
Others,male,SCB,G,6,Saturday,2017-11
Shandong,female,MA,I,7,Monday,2017-11
Others,female,MA,I,11,Wednesday,2017-12
Guangdong,male,SO,I,12,Thursday,2017-12
Others,female,MA,I,0,Tuesday,2018-01
Oversea,female,SCB,G,14,Thursday,2018-01
Oversea,male,MA,G,14,Thursday,2018-01
Oversea,female,MA,G,14,Thursday,2018-01
Oversea,female,MA,G,9,Friday,2018-01
Shanxi,male,SCB,G,0,Thursday,2018-01
Hebei,female,MA,G,2,Thursday,2018-01
Beijing,female,MA,I,6,Thursday,2018-01
Others,female,MA,I,6,Thursday,2018-01
Guangxi,female,MA,I,8,Thursday,2018-01
Shanxi,male,MA,I,11,Thursday,2018-01
Others,female,MA,G,11,Thursday,2018-01
Anhui,male,SCB,I,0,Friday,2018-01
Others,male,MA,G,12,Friday,2018-01
Beijing,female,MA,I,21,Friday,2018-01
Others,female,MA,I,22,Friday,2018-01
Hubei,male,SCB,G,23,Friday,2018-01
Beijing,female,MA,G,0,Saturday,2018-01
Hubei,female,MA,I,21,Wednesday,2018-01
Others,female,SA,I,22,Wednesday,2018-02
Guangdong,male,SO,I,0,Saturday,2018-02
Beijing,female,MA,I,6,Saturday,2018-02
Others,female,MA,G,22,Saturday,2018-02
Others,male,SCB,I,9,Sunday,2018-02
Heilongjiang,male,SO,G,12,Sunday,2018-02
Hunan,male,SCB,G,12,Sunday,2018-02
Others,female,SCB,G,13,Sunday,2018-02
Shandong,female,SCB,G,13,Sunday,2018-02
Others,male,MA,I,21,Sunday,2018-02
Sichuan,female,MA,I,7,Monday,2018-02
Shanghai,female,MA,G,9,Monday,2018-02
Tianjin,female,MA,G,10,Monday,2018-02
Tianjin,female,MA,I,10,Monday,2018-02
Oversea,female,SCB,G,12,Monday,2018-02
Oversea,female,MA,I,14,Monday,2018-02
Heilongjiang,male,SO,G,18,Monday,2018-02
Guangdong,female,MA,I,18,Monday,2018-02
Shanghai,female,MA,I,18,Monday,2018-02
Beijing,male,SO,G,12,Tuesday,2018-03
Oversea,female,MA,G,2,Wednesday,2018-03
Shanghai,male,MA,G,8,Wednesday,2018-03
Liaoning,male,MA,I,8,Wednesday,2018-03
Oversea,female,SCB,G,11,Wednesday,2018-03
Others,male,MA,I,17,Wednesday,2018-03
Beijing,male,SA,I,17,Wednesday,2018-03
Jiangsu,male,MA,G,18,Wednesday,2018-03
Guangdong,female,MA,I,19,Wednesday,2018-03
Others,female,MA,I,11,Friday,2018-03
Zhejiang,female,SCB,I,11,Friday,2018-03
Shanghai,female,MA,G,16,Friday,2018-03
Beijing,male,MA,I,18,Friday,2018-03
Shanghai,female,MA,G,10,Saturday,2018-03
Shanghai,female,SO,G,12,Saturday,2018-03
Hong Kong,male,MA,G,13,Saturday,2018-03
Shandong,female,SO,G,15,Saturday,2018-03
Sichuan,female,MA,G,15,Sunday,2018-03
Others,female,MA,G,14,Monday,2018-03
Hubei,female,SCB,G,14,Monday,2018-03
Oversea,male,MA,G,15,Monday,2018-03
Beijing,male,MA,G,22,Monday,2018-03
Oversea,female,SCB,G,9,Tuesday,2018-03
Guangdong,female,MA,G,16,Tuesday,2018-03
Guangdong,male,MA,G,16,Thursday,2018-03
Guangdong,male,MA,I,16,Thursday,2018-03
Shandong,female,MA,I,16,Thursday,2018-03
Oversea,female,MA,I,16,Thursday,2018-03
Liaoning,male,MA,I,17,Thursday,2018-03
Guangdong,female,MA,G,15,Friday,2018-03
Xinjiang,female,MA,I,12,Wednesday,2018-03
Others,male,MA,I,13,Thursday,2018-03
Others,female,MA,I,13,Monday,2018-03
Liaoning,female,SCB,G,14,Monday,2018-03
Oversea,female,MA,I,20,Monday,2018-03
Sichuan,female,MA,G,12,Sunday,2018-04
Others,female,MA,I,12,Sunday,2018-04
Oversea,female,MA,I,12,Sunday,2018-04
Others,male,MA,G,13,Sunday,2018-04
Others,female,MA,G,14,Sunday,2018-04
Others,female,MA,G,23,Sunday,2018-04
Others,female,SO,I,15,Monday,2018-04
Gansu,male,MA,I,15,Monday,2018-04
Beijing,male,SCB,I,21,Monday,2018-04
Oversea,male,MA,I,10,Tuesday,2018-04
Jiangxi,male,SCB,G,23,Tuesday,2018-04
Jiangxi,male,MA,G,9,Wednesday,2018-04
Jiangxi,male,MA,G,10,Wednesday,2018-04
Jiangsu,female,MA,I,10,Wednesday,2018-04
Oversea,female,SCB,G,19,Wednesday,2018-04
Guangdong,male,MA,I,21,Wednesday,2018-04
Guangdong,female,MA,I,8,Thursday,2018-04
Beijing,male,MA,I,8,Thursday,2018-04
Others,female,MA,I,10,Thursday,2018-04
Others,female,MA,I,10,Thursday,2018-04
Oversea,female,MA,I,12,Thursday,2018-04
Others,female,MA,G,1,Friday,2018-04
Oversea,male,SCB,G,22,Friday,2018-04
Jiangsu,male,SO,G,18,Saturday,2018-04
Hebei,male,SO,G,18,Saturday,2018-04
Jiangsu,male,SCB,I,18,Saturday,2018-04
Guangdong,female,MA,I,20,Saturday,2018-04
Inner Mongolia,female,MA,G,22,Saturday,2018-04
Heilongjiang,female,MA,I,14,Sunday,2018-04
Oversea,female,MA,I,16,Tuesday,2018-04
Oversea,male,MA,I,17,Tuesday,2018-04
Yunnan,female,SCB,G,17,Tuesday,2018-04
Sichuan,male,SCB,I,9,Wednesday,2018-04
Others,female,MA,I,14,Wednesday,2018-04
Sichuan,female,MA,I,15,Wednesday,2018-04
Heilongjiang,male,MA,G,16,Wednesday,2018-04
Gansu,male,MA,G,16,Wednesday,2018-04
Gansu,male,SCB,G,9,Thursday,2018-04
Shanghai,female,MA,G,22,Friday,2018-04
Hubei,female,MA,I,23,Friday,2018-04
Others,female,SCB,I,10,Monday,2018-04
Shanghai,male,MA,I,8,Wednesday,2018-04
Jiangsu,male,SCB,G,13,Wednesday,2018-04
Oversea,female,SO,G,6,Sunday,2018-04
Jiangsu,male,SCB,I,7,Tuesday,2018-04
Shanxi,male,SCB,I,19,Saturday,2018-04
Others,female,SCB,G,19,Saturday,2018-04
Others,male,MA,G,21,Sunday,2018-04
Oversea,female,MA,I,1,Monday,2018-04
Others,female,MA,G,3,Tuesday,2018-05
Others,female,SCB,G,8,Tuesday,2018-05
Others,male,MA,I,5,Wednesday,2018-05
Others,male,MA,I,12,Wednesday,2018-05
Others,female,MA,G,18,Saturday,2018-05
Jiangsu,male,MA,I,11,Saturday,2018-05
Others,male,SCB,I,13,Saturday,2018-05
Others,male,SCB,I,13,Saturday,2018-05
Oversea,male,SO,I,21,Sunday,2018-06
Oversea,male,MA,G,0,Monday,2018-06
Inner Mongolia,male,MA,I,20,Monday,2018-06
Others,male,SCB,I,21,Monday,2018-06
Hebei,female,MA,G,8,Tuesday,2018-06
Others,female,MA,I,14,Tuesday,2018-06
Tianjin,female,MA,G,23,Friday,2018-06
Hunan,male,MA,G,15,Tuesday,2018-06
Beijing,female,MA,I,23,Friday,2018-06
Beijing,female,MA,G,11,Wednesday,2018-06
Beijing,female,MA,I,10,Thursday,2018-06
Sichuan,male,MA,G,11,Tuesday,2018-06
Others,male,MA,I,21,Wednesday,2018-06
Others,male,MA,G,21,Wednesday,2018-06
Others,male,MA,G,11,Thursday,2018-06
Zhejiang,male,SCB,I,13,Thursday,2018-06
Beijing,male,MA,I,11,Thursday,2018-07
Shandong,female,MA,I,14,Friday,2018-07
Anhui,male,MA,I,19,Friday,2018-07
Sichuan,male,SO,I,20,Friday,2018-07
Beijing,male,MA,G,20,Friday,2018-07
Beijing,male,MA,I,20,Friday,2018-07
Zhejiang,male,MA,G,21,Friday,2018-07
Chongqing,female,MA,G,21,Friday,2018-07
Oversea,male,SCB,G,22,Friday,2018-07
Others,female,MA,I,23,Friday,2018-07
Others,female,MA,I,23,Friday,2018-07
Taiwan,female,MA,I,0,Saturday,2018-07
Anhui,male,MA,I,0,Saturday,2018-07
Others,male,MA,I,10,Saturday,2018-07
Oversea,male,MA,I,19,Saturday,2018-07
Jilin,female,MA,I,14,Monday,2018-07
Others,female,MA,I,16,Monday,2018-07
Oversea,male,SCB,G,16,Thursday,2018-07
Sichuan,female,SCB,G,19,Thursday,2018-07
Fujian,male,SCB,G,12,Sunday,2018-07
Oversea,male,SCB,I,15,Sunday,2018-07
Beijing,female,MA,I,20,Wednesday,2018-07
Guangdong,female,MA,G,21,Wednesday,2018-07
Guangdong,female,MA,I,21,Wednesday,2018-07
Beijing,female,MA,I,13,Thursday,2018-07
Henan,female,SO,G,13,Thursday,2018-07
Others,male,SO,I,14,Thursday,2018-07
Others,female,MA,G,15,Thursday,2018-07
Guangdong,female,SO,G,15,Thursday,2018-07
Qinghai,female,SCB,I,16,Thursday,2018-07
Jiangsu,male,SCB,I,18,Thursday,2018-07
Oversea,male,MA,G,22,Thursday,2018-07
Ningxia,male,SO,I,22,Thursday,2018-07
Oversea,female,MA,I,23,Thursday,2018-07
Jiangsu,female,MA,G,7,Friday,2018-07
Heilongjiang,female,SA,I,7,Friday,2018-07
Others,female,SO,I,9,Friday,2018-07
Oversea,female,MA,I,11,Friday,2018-07
Oversea,female,SA,I,13,Friday,2018-07
Beijing,male,SA,I,14,Friday,2018-07
Others,female,MA,I,15,Friday,2018-07
Zhejiang,female,MA,G,16,Friday,2018-07
Beijing,male,SCB,I,16,Friday,2018-07
Oversea,female,SCB,G,18,Friday,2018-07
Beijing,female,MA,G,18,Friday,2018-07
Hunan,male,MA,G,19,Friday,2018-07
Liaoning,female,SCB,I,20,Friday,2018-07
Jiangxi,female,SO,I,21,Friday,2018-07
Oversea,female,MA,I,22,Friday,2018-07
Beijing,female,MA,G,1,Saturday,2018-07
Beijing,female,MA,I,1,Saturday,2018-07
Oversea,male,SO,G,9,Saturday,2018-07
Oversea,female,SCB,I,9,Saturday,2018-07
Jiangsu,female,SCB,G,10,Saturday,2018-07
Others,female,MA,G,12,Saturday,2018-07
Others,male,MA,G,0,Sunday,2018-07
Others,female,MA,G,1,Sunday,2018-07
Sichuan,female,MA,I,11,Sunday,2018-07
Others,male,MA,G,11,Sunday,2018-07
Zhejiang,male,MA,I,12,Sunday,2018-07
Others,male,SCB,G,22,Sunday,2018-07
Others,male,SCB,I,0,Monday,2018-07
Zhejiang,female,SCB,G,9,Monday,2018-07
Beijing,female,MA,I,11,Monday,2018-07
Beijing,female,MA,I,11,Monday,2018-07
Shaanxi,female,MA,I,11,Monday,2018-07
Hebei,female,MA,G,11,Monday,2018-07
Beijing,male,SCB,G,14,Monday,2018-07
Beijing,female,MA,G,18,Monday,2018-07
Oversea,female,MA,I,18,Monday,2018-07
Others,male,SCB,G,21,Monday,2018-07
Others,male,SA,I,21,Monday,2018-07
Guangdong,male,MA,G,21,Monday,2018-07
Gansu,female,SCB,G,22,Monday,2018-07
Jiangsu,female,MA,G,22,Monday,2018-07
Guangdong,male,MA,I,22,Monday,2018-07
Chongqing,female,MA,G,23,Monday,2018-07
Inner Mongolia,female,MA,G,6,Tuesday,2018-07
Jiangsu,female,SCB,I,15,Tuesday,2018-07
Chongqing,female,MA,G,20,Tuesday,2018-07
Chongqing,female,SO,G,21,Tuesday,2018-07
Yunnan,female,MA,G,21,Tuesday,2018-07
Guangdong,female,MA,G,0,Wednesday,2018-08
Others,female,MA,I,6,Wednesday,2018-08
Jiangsu,female,MA,I,0,Thursday,2018-08
Beijing,female,MA,I,16,Friday,2018-08
Oversea,male,MA,I,3,Saturday,2018-08
Others,male,MA,G,18,Friday,2018-08
Others,male,SO,G,13,Saturday,2018-08
Beijing,male,SCB,G,14,Saturday,2018-08
Others,female,SO,G,16,Sunday,2018-08
Others,female,SO,G,16,Sunday,2018-08
Tianjin,male,MA,G,19,Sunday,2018-08
Jiangsu,male,SCB,I,11,Thursday,2018-08
Shanxi,female,MA,I,19,Friday,2018-08
Oversea,female,SCB,G,14,Sunday,2018-08
Others,male,SO,I,13,Thursday,2018-08
Qinghai,male,MA,I,22,Thursday,2018-08
Shanghai,female,MA,G,18,Friday,2018-08
Oversea,female,MA,I,20,Saturday,2018-08
Guangdong,male,MA,I,20,Saturday,2018-08
Oversea,female,MA,G,21,Saturday,2018-08
Guangdong,male,MA,G,3,Tuesday,2018-08
Others,female,MA,G,13,Thursday,2018-08
Beijing,male,SCB,G,2,Sunday,2018-09
Jiangsu,female,MA,I,16,Wednesday,2018-09
Oversea,male,MA,G,12,Tuesday,2018-09
Guangdong,female,MA,I,20,Tuesday,2018-09
Others,male,SCB,G,1,Wednesday,2018-09
Others,female,MA,I,11,Wednesday,2018-09
Others,female,MA,I,12,Wednesday,2018-09
Sichuan,female,SCB,I,14,Wednesday,2018-09
Beijing,female,MA,I,0,Friday,2018-09
Liaoning,female,SCB,I,8,Monday,2018-09
Chongqing,male,SO,I,10,Monday,2018-09
Others,female,MA,I,16,Monday,2018-09
Oversea,male,MA,I,4,Thursday,2018-09
Zhejiang,female,MA,G,20,Sunday,2018-09
Guangdong,male,SCB,I,10,Monday,2018-09
Oversea,male,MA,G,20,Tuesday,2018-09
Others,female,MA,I,10,Wednesday,2018-09
Beijing,female,MA,I,17,Tuesday,2018-10
Others,female,SCB,I,18,Wednesday,2018-10
Beijing,male,SO,I,20,Wednesday,2018-10
Guangdong,male,MA,I,19,Thursday,2018-10
Oversea,female,MA,I,22,Thursday,2018-10
Guizhou,female,MA,I,19,Friday,2018-10
Zhejiang,male,SO,I,8,Saturday,2018-10
Hebei,female,MA,G,11,Saturday,2018-10
Beijing,female,MA,G,19,Saturday,2018-10
Oversea,male,MA,I,21,Saturday,2018-10
Guizhou,female,MA,I,9,Sunday,2018-10
Others,female,MA,I,12,Sunday,2018-10
Henan,male,MA,G,19,Sunday,2018-10
Beijing,male,MA,I,16,Monday,2018-10
Others,female,SCB,G,20,Monday,2018-10
Oversea,female,MA,G,20,Monday,2018-10
Others,female,MA,I,2,Tuesday,2018-10
Oversea,female,MA,I,9,Friday,2018-10
Others,female,MA,I,13,Friday,2018-10
Others,female,SCB,I,14,Friday,2018-10
Guangdong,male,MA,I,16,Friday,2018-10
Oversea,female,SCB,G,16,Friday,2018-10
Anhui,female,MA,G,11,Monday,2018-10
Liaoning,female,SCB,G,12,Tuesday,2018-10
Others,male,SCB,G,8,Saturday,2018-10
Jiangsu,female,SCB,G,1,Monday,2018-11
Shaanxi,male,MA,G,9,Monday,2018-11
Shandong,male,MA,G,23,Monday,2018-11
Shanghai,female,SCB,G,7,Tuesday,2018-11
Shanghai,female,MA,G,0,Wednesday,2018-11
Hubei,male,SCB,I,0,Saturday,2018-11
Sichuan,male,MA,G,14,Saturday,2018-11
Beijing,female,SCB,I,20,Saturday,2018-11
Liaoning,male,MA,G,12,Monday,2018-11
Hebei,male,MA,G,13,Tuesday,2018-11
Hunan,male,MA,G,13,Tuesday,2018-11
Henan,female,SCB,I,14,Tuesday,2018-11
Others,male,MA,G,14,Tuesday,2018-11
Sichuan,male,MA,I,14,Tuesday,2018-11
Hunan,female,MA,I,15,Tuesday,2018-11
Jiangsu,male,MA,I,16,Tuesday,2018-11
Hunan,female,MA,I,19,Tuesday,2018-11
Shandong,male,MA,G,20,Tuesday,2018-11
Others,female,MA,I,0,Wednesday,2018-11
Beijing,female,MA,I,21,Thursday,2018-11
Sichuan,female,MA,G,3,Friday,2018-11
Liaoning,female,SCB,I,3,Friday,2018-11
Fujian,male,MA,G,3,Friday,2018-11
Shanghai,female,SCB,I,3,Friday,2018-11
Liaoning,female,MA,I,5,Friday,2018-11
Anhui,male,SCB,G,5,Friday,2018-11
Sichuan,female,MA,I,9,Friday,2018-11
Yunnan,female,SCB,G,9,Friday,2018-11
Jiangsu,male,SCB,G,10,Friday,2018-11
Others,female,MA,I,10,Friday,2018-11
Oversea,female,MA,I,17,Saturday,2018-12
Guangdong,female,SCB,G,7,Sunday,2018-12
Zhejiang,female,MA,I,8,Sunday,2018-12
Liaoning,female,MA,G,9,Sunday,2018-12
Others,female,SCB,I,9,Sunday,2018-12
Oversea,female,MA,I,9,Sunday,2018-12
Beijing,female,MA,I,10,Sunday,2018-12
Shanghai,female,MA,I,10,Sunday,2018-12
Oversea,female,MA,G,10,Sunday,2018-12
Chongqing,male,SCB,I,10,Sunday,2018-12
Sichuan,female,MA,I,11,Sunday,2018-12
Oversea,female,MA,G,11,Sunday,2018-12
Others,female,MA,G,11,Sunday,2018-12
Oversea,female,MA,G,11,Sunday,2018-12
Others,female,MA,G,11,Sunday,2018-12
Oversea,female,MA,I,11,Sunday,2018-12
Oversea,female,MA,I,11,Sunday,2018-12
Guangdong,female,SCB,I,12,Sunday,2018-12
Tianjin,female,MA,I,12,Sunday,2018-12
Oversea,female,MA,I,12,Sunday,2018-12
Oversea,female,MA,I,12,Sunday,2018-12
Oversea,male,MA,I,12,Sunday,2018-12
Others,female,SCB,G,12,Sunday,2018-12
Others,female,MA,G,12,Sunday,2018-12
Oversea,female,MA,I,12,Sunday,2018-12
Others,female,MA,G,13,Sunday,2018-12
Oversea,female,MA,I,13,Sunday,2018-12
Others,female,MA,I,13,Sunday,2018-12
Others,female,MA,G,14,Sunday,2018-12
Guangdong,male,MA,I,15,Sunday,2018-12
Oversea,female,MA,I,17,Sunday,2018-12
Others,male,MA,I,17,Sunday,2018-12
Sichuan,female,MA,I,20,Sunday,2018-12
Chongqing,male,MA,G,1,Monday,2018-12
Oversea,female,MA,I,16,Monday,2018-12
Others,female,MA,G,12,Tuesday,2018-12
Beijing,female,MA,G,15,Tuesday,2018-12
Others,female,MA,G,21,Tuesday,2018-12
Oversea,female,MA,I,21,Tuesday,2018-12
Hunan,male,SCB,G,1,Wednesday,2018-12
Oversea,female,MA,I,3,Wednesday,2018-12
Guangdong,male,SCB,I,13,Wednesday,2018-12
Others,male,SO,G,15,Wednesday,2018-12
Chongqing,female,SCB,I,12,Monday,2018-12
Others,female,SCB,I,13,Monday,2018-12
Jiangsu,female,SCB,I,8,Tuesday,2018-12
Others,male,SCB,G,14,Tuesday,2018-12
Liaoning,female,MA,I,8,Thursday,2018-12
Oversea,female,SCB,G,21,Friday,2018-12
Shanghai,female,MA,I,23,Saturday,2018-12
Others,male,SCB,I,13,Monday,2018-12
Beijing,male,MA,I,16,Thursday,2018-12
Oversea,female,SCB,G,16,Thursday,2018-12
Oversea,female,SCB,I,16,Thursday,2018-12
Beijing,male,MA,I,17,Thursday,2018-12
