comment_text,location,gender,category,target,time,day,year_month
female_________male____________male_______……_______female_,__,male,MA,I,,Wednesday,2017/09
____female_________________________,__,female,MA,G,,Wednesday,2017/09
female____male___________________________________________________________________male____________________,__,female,MA,I,,Friday,2017/09
female____________________//,__,male,SO,I,,Friday,2017/09
____female______female_______female_____________male___,__,female,SCB,G,,Monday,2017/09
_________male__________male_,__,female,MA,G,,Wednesday,2017/09
_________female____________________________,__,female,MA,G,,Saturday,2017/09
"female__________________female____________female____________________,______male____…_______________,_____________________________________________________male_______male_…_",__,female,SCB,I,,Tuesday,2017/09
_____ ____ ___________,__,female,SO,G,,Wednesday,2017/09
"___________________female__________female_______________________male____male_,____________________TOP____________",__,male,MA,I,,Wednesday,2017/09
"__________,________female___ ____male__",__,female,SCB,I,,Wednesday,2017/09
_________________________,__,female,MA,I,,Thursday,2017/09
__female_______________________________female_________________,__,female,MA,I,,Monday,2017/10
_______female___________________male_____________male_______________________13________sb________,__,female,SCB,I,,Monday,2017/10
"__……_______female__female________________________,__female_……",__,female,MA,I,,Sunday,2017/10
___________________________________male_____________female______________,__,female,SCB,G,,Sunday,2017/10
"_______________________,____",__,female,MA,I,,Wednesday,2017/10
___female__________________________female___,__,male,SCB,I,,Thursday,2017/10
_____“female_”____________________female_________________________________________________________________//,__,male,SCB,G,,Thursday,2017/10
________________   _ __ __ _______ __ _____  ______ ____ _________,__,female,MA,I,,Thursday,2017/10
"__male____male____male____male________female_____________female__,_____ ___________________",__,male,SCB,G,,Thursday,2017/10
________________________________________,__,female,SCB,G,,Thursday,2017/10
__________________female______female___,__,female,SCB,G,,Thursday,2017/10
______female____________________________female_____________female____________________________________male___,__,male,SCB,I,,Thursday,2017/10
"_____________________________,______male____________",__,female,MA,I,,Thursday,2017/10
"_____ _______female __________ ____ female_______ _______ ____  _____ ____ female___________ __________ ________ _ _________ ______ _ ____________ _____  __female__,____________ __ ________ _ ______ ________,________________ ________female____ __ _____________",__,female,SCB,G,,Thursday,2017/10
_______________________________________________________________________,__,male,SCB,I,,Thursday,2017/10
____________________female________female_________________female___________female_______,__,male,MA,G,,Sunday,2017/10
male___________________________,__,female,MA,I,,Thursday,2017/10
_________________female____female____________,__,female,MA,I,,Thursday,2017/10
___female________male________,__,female,SCB,G,,Friday,2017/10
___________male__________________________________________________male__female________________________________,__,male,MA,I,,Friday,2017/10
_______malefemale__________________________“_” ______female_____female_____________female_______female_________________malefemale____________________,__,male,MA,I,,Friday,2017/10
female_________________female___________male_______female_______male_____female________________female_________________!,__,male,MA,G,,Saturday,2017/10
_________________________________________________________________________________________________________,__,male,MA,I,,Saturday,2017/10
____________________female____female______,__,male,MA,G,,Saturday,2017/10
__________female________male_________________________________female_______female________,__,male,SCB,G,,Saturday,2017/10
_______________male___________,__,female,SO,G,,Sunday,2017/10
"________male_____________male___________male____________male_female_________________________________________________female_________________,________________________________________male__________________female________________male_____________,______________ _ __ ______male____________________________________________,________female____“__female_”_____________",__,female,MA,G,,Sunday,2017/10
"voiceyaya ___________________________female___________male________male__________________male___________male________female__________male______female______,_________MISS________female____________________________________female_________female__female____________male__________________________",__,female,SCB,G,,Sunday,2017/10
_____________ __________female_______________________female______________________________male_ _________________________________ __________loser _______ _____,__,female,MA,G,,Sunday,2017/10
___________________________________female_____________________________female_______________________male_________male___________male_____1%______________,__,female,SCB,G,,Monday,2017/10
_________________malefemale___________“__”____male_female_,__,female,MA,I,,Tuesday,2017/10
__________________female__________female_____female_______________________female_____________________________,__,female,MA,I,,Tuesday,2017/10
"_________________________________________________________________________________________________________,_______________________________________________________________________“XX_____”___________________________________________________",__,male,SCB,G,,Tuesday,2017/10
_______ ____ _____________,__,female,MA,I,,Tuesday,2017/10
__motherfucker_______________female________________kk nhjj__ ____,__,female,MA,I,,Tuesday,2017/10
_______________________motherfucker_______________________________________________________rap_,__,female,MA,G,,Tuesday,2017/10
__male___“__”female_____female____female_____,__,male,MA,I,,Wednesday,2017/10
_____________male__female_________female__________female__,__,male,SCB,I,,Wednesday,2017/10
_________female______________female___________________________________,__,male,MA,G,,Wednesday,2017/10
female_______________ _________ ______,__,male,SA,G,,Wednesday,2017/10
"____________,_____female______",__,female,MA,I,,Wednesday,2017/10
"___________female________female______,__female_____female_____female______",__,female,SCB,I,,Wednesday,2017/10
"____________female____,______________female__________________________________________________________",__,male,MA,I,,Wednesday,2017/10
_____female________________male_____________male_______________________________________________________________________________,__,female,MA,I,,Thursday,2017/10
_____female__4000_male____40__________________male__________________,__,female,MA,I,,Thursday,2017/10
__male___female_______________……,__,female,MA,G,,Thursday,2017/10
____female_______male____________________female_____female__________female__female________________female______________________________________“female_”__——_______,__,male,SCB,I,,Thursday,2017/10
________________________female__________________female____female____female_________female_________……___female__,__,male,MA,G,,Thursday,2017/10
___________________________________________female__female___________________________,__,female,MA,G,,Thursday,2017/10
"@___1139____  __________________female____________________________________female____female______________________________,@___1139____  female_________malefemale_________________female______female_______________________________________________________________________________,@___1139____  _________maleV_____femaleV_maleV__________________________________________________________female__,@___1139____  __________________________________________________________________________________________________________________________,_______________@______  ______doki________,____female______________________________________________________________female__________female________________femaleV___________female____maleV_femaleV___@___1139____  __female___,__2017_4_17___________________________________________________________________________________",__,male,SCB,I,,Thursday,2017/10
female_______female____malefemale_____,__,female,SCB,I,,Thursday,2017/10
"________________________________________________________________________female_________________________________female________________female____________,______________________________________________________________________,_……________________________________female________,__female_________________________________________female___________female_____,____________________female____female___________________________________malefemale_________________________________________malefemale_________________female______________,___________female____________________________________female______female_____________________________________female________________________________",__,male,SCB,I,,Thursday,2017/10
__________female_______________female___________________female______female______________female__,__,female,MA,G,,Thursday,2017/10
___________________________________female____female_____________________female___female_________female_________________female_______male_____________female_________________qnmd,__,female,MA,I,,Friday,2017/10
__________female_____________female_female__male_female_______female______________________________female_______female________female__________________,__,female,MA,I,,Friday,2017/10
_______female_ __female_____________________,__,female,MA,G,,Friday,2017/10
___________________________male__“__”___________male_______________male____________“__________”______________,__,female,MA,I,,Friday,2017/10
"____female______female_________female____________________female_______,______female_____________________________female______________female____“female___”_",__,female,MA,I,,Friday,2017/10
_______female_______________________________,__,male,SCB,G,,Friday,2017/10
___female_ _____female_______female__“__”______male_____male_______________female_female_____female_“_male”_____,__,male,MA,I,,Friday,2017/10
____female_____ _______female_____,__,male,MA,I,,Friday,2017/10
____female__________________________,__,male,SCB,G,,Friday,2017/10
_____female_____female_________malefemale________________________________________________________________________________________B__,__,female,MA,I,,Friday,2017/10
______female____female______________,__,female,MA,I,,Sunday,2017/10
_________female_____________,__,female,MA,G,,Sunday,2017/10
_________________________female___,__,female,MA,G,,Monday,2017/10
____female___________________male____----__female_,__,male,MA,I,,Monday,2017/10
____female__________female_ ________ ____________male______,__,female,SCB,I,,Monday,2017/10
___female___________male____________________female______malefemale_______female______female_______________male____male____female_,__,male,SCB,I,,Monday,2017/10
___female___________male____________________female______malefemale_______female______female_______________male____male____female__,__,male,SCB,I,,Monday,2017/10
_male______________,__,male,MA,I,,Monday,2017/10
_______female___________female_____________________________female__________________________________female___//,__,male,SCB,I,,Monday,2017/10
__female_________ ______female_ ____,__,male,MA,I,,Monday,2017/10
__female_________________________,__,male,MA,G,,Monday,2017/10
__female_____male___________,__,male,MA,I,,Monday,2017/10
____ _________________ _________________ ____________ ______________,__,male,MA,G,,Tuesday,2017/10
___male_dissfemale_____________,__,male,MA,I,,Tuesday,2017/10
__male__________malefemale_________female______female_________,__,male,SCB,G,,Tuesday,2017/10
“female__________________________”_male_____male____________________,__,female,SCB,I,,Saturday,2017/11
malefemale______malefemale________________________female_______male___________female__,__,male,SCB,I,,Monday,2017/11
@xvbccbz_female________________________________male___________male__,___,male,SCB,G,,Monday,2017/11
____________female_____________female______________________________,__,female,SCB,I,,Friday,2017/11
"________ _______________ __________ ______________  __________________________________________________,______ _____ _______________ ____ ___________ _______________________ ____female___ female_________female_______________________________ ______________________,___________________________male________female________________________________________female_______female________,_________________________ _________male________________________________ ___________ _________________________,___________________________________________________ ___________________________,_________female_ ___________________female___________________male____________male_female___________________________,______male__female_______male__male_____female__female_________________________female_ ____________female____male_ _____female______male__ _________________________male_ female___________________,_____________________ __________________________________________________________male______ _______________ ________________________________…____,___________________________________  ________________________________ _______,_____________ _____________female________________female__ ______________________ ___________________ _________ ____",__,female,SCB,G,,Friday,2017/11
"male_________female______________________________________,_____female____male_________________________,______________________________,___________________________,_______________________________________",__,female,MA,G,,Friday,2017/11
__________________female________________female_____female________________________female___female______________female_______________________________________female___male__________,__,female,MA,I,,Sunday,2017/11
______female__________________female_____________________________________________female________________female____,__,male,MA,I,,Monday,2017/11
_______________________female____,__,male,MA,I,,Friday,2017/11
______female____________malefemale_______,__,male,SCB,G,,Saturday,2017/11
_____female___male_______,__,female,MA,I,,Monday,2017/11
_____“_”female______________,__,female,MA,I,,Wednesday,2017/12
____________________,__,male,SO,I,,Thursday,2017/12
_______________________________male_______________________________________,__,female,MA,I,,Tuesday,2018/01
male_______________________________male______________,__,female,SCB,G,,Thursday,2018/01
__________female__________,__,male,MA,G,,Thursday,2018/01
"__female__________________________________,___female__________________female__________……__female________male________________",__,female,MA,G,,Thursday,2018/01
"____ _______________________________________________……__________,______________________________female_________",__,female,MA,G,,Friday,2018/01
______________…_______________________________________________________,__,male,SCB,G,,Thursday,2018/01
______________female___________________________male_______,__,female,MA,G,,Thursday,2018/01
UN_2013______22.2%___male_________05-17________________60%-80%female_____________male_____________________________________MeToo________________“_____”_,__,female,MA,I,,Thursday,2018/01
___male________male__________,__,female,MA,I,,Thursday,2018/01
__________________________female___________,__,female,MA,I,,Thursday,2018/01
_________________________________…__WA________________female___________,__,male,MA,I,,Thursday,2018/01
_______________________________________female______________________________________________________________________________,__,female,MA,G,,Thursday,2018/01
__“_______‘____female____’”……“______________________——_____________________________________________________________female__,__,male,SCB,I,,Friday,2018/01
female_______________   female_,__,male,MA,G,,Friday,2018/01
Samantha Bee ___________female_________________________________________________________________________________rules___________ : ),__,female,MA,I,,Friday,2018/01
____female___________“_____”______female____________________________male______________,__,female,MA,I,,Friday,2018/01
"___________________________,___________female_________________,________________________________,___female___________________________female__male__________female______malefemale__________female______________________________________________________________________",__,male,SCB,G,,Friday,2018/01
__:1.metoo__________female________male__2._________________________3.metoo____qj________________4.female_______________5.__________male__6.male___________female_________,__,female,MA,G,,Saturday,2018/01
_____________female__________________________……___________________________……_____malefemale_______female____………,__,female,MA,I,,Wednesday,2018/01
_________female_______,__,female,SA,I,,Wednesday,2018/02
"__male _____,___ ____male “_ ___“”_______ __________________________",__,male,SO,I,,Saturday,2018/02
____female_30__40___male_________________,__,female,MA,I,,Saturday,2018/02
___________________female________,__,female,MA,G,,Saturday,2018/02
____loser_____________________loser__________________________,__,male,SCB,I,,Sunday,2018/02
_________“____”_________________female______,___,male,SO,G,,Sunday,2018/02
________________female_______,__,male,SCB,G,,Sunday,2018/02
__female________female_________________male___________,__,female,SCB,G,,Sunday,2018/02
___________female______karma________________________________________male_____________________________________________________________metoo_____,__,female,SCB,G,,Sunday,2018/02
_____male_____________,__,male,MA,I,,Sunday,2018/02
__________male___“_____”_“____”_____________female____,__,female,MA,I,,Monday,2018/02
___male______________________________feminist________________male________________________________,__,female,MA,G,,Monday,2018/02
_____________female___,__,female,MA,G,,Monday,2018/02
____female_________________________________,__,female,MA,I,,Monday,2018/02
"male_________“__”________female________________________female___________________________________________/,________female__________________“__”______male_________________“_____”_________________female_______“__”__________“__”__________//",__,female,SCB,G,,Monday,2018/02
"___________________________,__________________________at_____________________",__,female,MA,I,,Monday,2018/02
_________“____”______________female______,___,male,SO,G,,Monday,2018/02
___________......_____________________.._____________....,__,female,MA,I,,Monday,2018/02
_________male_____________________,__,female,MA,I,,Monday,2018/02
___female_________________,__,male,SO,G,,Tuesday,2018/03
___________________MeToo_____________________female__female_________________,__,female,MA,G,,Wednesday,2018/03
_____________________……_______,__,male,MA,G,,Wednesday,2018/03
____________________________________________“____”_____“__”________,__,male,MA,I,,Wednesday,2018/03
___________________female______male_____________________________________________female__,__,female,SCB,G,,Wednesday,2018/03
____female__________95%__________,__,male,MA,I,,Wednesday,2018/03
______________________________________________female______________male__male___________________________________________,__,male,SA,I,,Wednesday,2018/03
"___________________female______________________________________Q___________,_________________female__",__,male,MA,G,,Wednesday,2018/03
______________________________female__________,__,female,MA,I,,Wednesday,2018/03
_female____________________female__________________________________________female___________male____________,__,female,MA,I,,Friday,2018/03
_____female_________________female__________,__,female,SCB,I,,Friday,2018/03
________________________________,__,female,MA,G,,Friday,2018/03
________________female___________________________________________________,__,male,MA,I,,Friday,2018/03
________________________________________________________________,__,female,MA,G,,Saturday,2018/03
__________female______________________________________,__,female,SO,G,,Saturday,2018/03
________________________________________________________,__,male,MA,G,,Saturday,2018/03
______________________________________________________,__,female,SO,G,,Saturday,2018/03
_____female________________________,__,female,MA,G,,Sunday,2018/03
__________________________,__,female,MA,G,,Monday,2018/03
________________________________,__,female,SCB,G,,Monday,2018/03
____________female_______________,__,male,MA,G,,Monday,2018/03
__________________________________________________________________________________________________________________________________________,__,male,MA,G,,Monday,2018/03
__male_________________……,__,female,SCB,G,,Tuesday,2018/03
_____________________________________________?_______________female____________________male__________________________,__,female,MA,G,,Tuesday,2018/03
_____male_____________________,__,male,MA,G,,Thursday,2018/03
___________________female_,__,male,MA,I,,Thursday,2018/03
_________gay_________________,__,female,MA,I,,Thursday,2018/03
me too________________male_______________female_____male__________________________________________________,__,female,MA,I,,Thursday,2018/03
_____male__________________________________,__,male,MA,I,,Thursday,2018/03
___________________female___BOSS,__,female,MA,G,,Friday,2018/03
_______________________ _______________,__,female,MA,I,,Wednesday,2018/03
__________    ___________,__,male,MA,I,,Thursday,2018/03
__female______________male____ _________ ____female_____ _______  _______female____,__,female,MA,I,,Monday,2018/03
____________________________,__,female,SCB,G,,Monday,2018/03
_______“____female_” ____________,__,female,MA,I,,Monday,2018/03
_________________ ________________ _____male__female____ ___ ______,__,female,MA,G,,Sunday,2018/04
________________________2_4_____male_______________________2_4__,__,female,MA,I,,Sunday,2018/04
____________________male_______,__,female,MA,I,,Sunday,2018/04
__________________________female______________________________,__,male,MA,G,,Sunday,2018/04
______male_____________,__,female,MA,G,,Sunday,2018/04
_______male_____________________________,__,female,MA,G,,Sunday,2018/04
_________________……,__,female,SO,I,,Monday,2018/04
_______________________________________________________________________________________________________________________,__,male,MA,I,,Monday,2018/04
____________female_____________________female____________________________________________________________________________________________________,__,male,SCB,I,,Monday,2018/04
female_____malefemale______________female___________________________“male_”________________,__,male,MA,I,,Tuesday,2018/04
__________male_______________________________________ta_______________. ___ta__male_female______.________.,__,male,SCB,G,,Tuesday,2018/04
"_______________________.___female______female_______female___________,____________________________________.",__,male,MA,G,,Wednesday,2018/04
"_____________female_______.,_________________________________,________________._________________________,________________________________________________.,______________________________.",__,male,MA,G,,Wednesday,2018/04
"________female___________bb_______________________________________,_____________________jj_______________________________________________________________________________________________,___________________female_______male___________________________________,___________male_____female______________________,_______female_________________female______________________________,___male____________________________________",__,female,MA,I,,Wednesday,2018/04
_______________________________________female________________________________male____________________,__,female,SCB,G,,Wednesday,2018/04
______male___—________,__,male,MA,I,,Wednesday,2018/04
__male__________male____________________________________________________,__,female,MA,I,,Thursday,2018/04
_______________________________________,__,male,MA,I,,Thursday,2018/04
_______________________________________________________,__,female,MA,I,,Thursday,2018/04
__________________________________________male________female____female____________________________________________________________________,__,female,MA,I,,Thursday,2018/04
____________________________________________________________male_______________female______male________________male____________,__,female,MA,I,,Thursday,2018/04
female________________________female_______,__,female,MA,G,,Friday,2018/04
"__________________female____________________female________female__________________female_____________________________female____,_________________________",__,male,SCB,G,,Friday,2018/04
_________________________,__,male,SO,G,,Saturday,2018/04
__@·___:__________________,__,male,SO,G,,Saturday,2018/04
____female____________________________________________________________,__,male,SCB,I,,Saturday,2018/04
_____________…____________________________________,__,female,MA,I,,Saturday,2018/04
____________________________male___________________male_____________……_____female___________________,___,female,MA,G,,Saturday,2018/04
________________________________________________________________________,___,female,MA,I,,Sunday,2018/04
______ female_____________,__,female,MA,I,,Tuesday,2018/04
"_________________________________________female_______________,_________________________________________________________________________________________________female____________________female____________",__,male,MA,I,,Tuesday,2018/04
__________male___________,__,female,SCB,G,,Tuesday,2018/04
__female_____________,__,male,SCB,I,,Wednesday,2018/04
__________female__________……__male__female______female_________……,__,female,MA,I,,Wednesday,2018/04
____________male________male____________female_______________________________________…______________________,__,female,MA,I,,Wednesday,2018/04
__female_______male____________________________________________,___,male,MA,G,,Wednesday,2018/04
"______________  ___________ _____“__”______________________“__”,___ ________________________+_________________________________________________________________female_________________________________",__,male,MA,G,,Wednesday,2018/04
"___ ____ ___________ ________.....__________   ______ ______ __________ _________   _______________________    ______  ________________ ______,_____________ ________ __________ _____________________male_____________________________________ ________________ _______________“__”  ______,______ _______________“__”__________________________________________________ ______________ ______ _____________  ____________ ________________",__,male,SCB,G,,Thursday,2018/04
_________________,__,female,MA,G,,Friday,2018/04
____ _____________________________,__,female,MA,I,,Friday,2018/04
__female_____________male_____________female_______________,__,female,SCB,I,,Monday,2018/04
__________________________________________________________,__,male,MA,I,,Wednesday,2018/04
_______male_female______________________________,__,male,SCB,G,,Wednesday,2018/04
__________________________________,__,female,SO,G,,Sunday,2018/04
_female__female_______male_________________,__,male,SCB,I,,Tuesday,2018/04
"___________/___________________________/____________________________________________,____________________________female_______________male_______________________________________________male______________________,_________female_______________________________________________,“_male____”__“_male____”______________________________,_______________female__________________________________,_____________________________________________________________________________,____“___”__________________“_____”____female______________,_________________________________“___female______________”______”_________________________________male____,___________“_female______140___”,___“male______70%_____”_“__________”____“male____female__________”_______________“female______________”___",__,male,SCB,I,,Saturday,2018/04
"_______________________________________________________male___________,___________female_______________________________,________________male____________male______________male__,________male__________male_____________male_________male_____________female_______________female____________female________male____——__male____,________male________________________________________________,__________male________female__male____________male______male____,_male____female_____________________________________male_____male________________,_______________________________________female___________male____________________101_________,_____……_______female____140male_____140______280__male_____196___female_84___,_____________________________",__,female,SCB,G,,Saturday,2018/04
________________________________________________________,__,male,MA,G,,Sunday,2018/04
_________________________________,__,female,MA,I,,Monday,2018/04
"_____________________________________female__________________________,________________________female____________ _____male_ _________,__________ _________male_______________ _______male_ _________",__,female,MA,G,,Tuesday,2018/05
____________________________female__________________________,__,female,SCB,G,,Tuesday,2018/05
male_female_____________female_______,__,male,MA,I,,Wednesday,2018/05
female________________female___,__,male,MA,I,,Wednesday,2018/05
"____________________________,(5)________________________male_______________________________________________________________,(4)_______________________________________________female________________________________female_______________________,(3)_____________________________________________,_______(_________________) _________________________________“___________”_____,(2)______________________male_________________________________..._______... _______(_)__________________male___",__,female,MA,G,,Saturday,2018/05
_____female__________female________________,__,male,MA,I,,Saturday,2018/05
_______________________________________________________________________________female_________male___________________________male____male_______female___,__,male,SCB,I,,Saturday,2018/05
_________________________________________________________________________________female_________male___________________________male____male_______female___,__,male,SCB,I,,Saturday,2018/05
_________________________________,__,male,SO,I,,Sunday,2018/06
__________________________________________________malefemalelgbtqqiaa_______________________,__,male,MA,G,,Monday,2018/06
emmmm_male_female___________________________,___,male,MA,I,,Monday,2018/06
__male________________female_______,__,male,SCB,I,,Monday,2018/06
____________female__________,__,female,MA,G,,Tuesday,2018/06
____care_______________________________male_____________female________________________,__,female,MA,I,,Tuesday,2018/06
______________male_______male_______________________________…female_____________________________,__,female,MA,G,,Friday,2018/06
______________female________________________………_______,__,male,MA,G,,Tuesday,2018/06
"___________________________,_____________________________,__________________________________,___________________________,_____________________________________________________,_____________________________________,_______________________________________________",__,female,MA,I,,Friday,2018/06
__female______...btw_____________________female___________male____,__,female,MA,G,,Wednesday,2018/06
_____________female___________________________female_______________________________male_________,__,female,MA,I,,Thursday,2018/06
_____male________female____________female____________________________,__,male,MA,G,,Tuesday,2018/06
____female_______male_______,__,male,MA,I,,Wednesday,2018/06
____________________malefemale______________female________________________female__female___ __ _______ ___________________male____________female_______________male_________,__,male,MA,G,,Wednesday,2018/06
"_________________________________ __,___male____",__,male,MA,G,,Thursday,2018/06
"__________________________________________,female__________male______________male__female____________,_________male_____________male___________female________________________,____________________female_____________________________male_______________________female___",__,male,SCB,I,,Thursday,2018/06
_____·_______B____female______________female_____female____________________________male________female_____________PC____,__,male,MA,I,,Thursday,2018/07
___________________female__________________female______________________________male_________,__,female,MA,I,,Friday,2018/07
___________________“____”______________________“___”___male__________________________________,__,male,MA,I,,Friday,2018/07
___female________________,__,male,SO,I,,Friday,2018/07
______________male______________________,__,male,MA,G,,Friday,2018/07
___________________________________male________,__,male,MA,I,,Friday,2018/07
____________female________________,__,male,MA,G,,Friday,2018/07
________________________________________________dei____gay________________gay____________________,__,female,MA,G,,Friday,2018/07
_________female_________sorry ___________ ___________ _______________________ ______metoo __________ __________________ female_______ female_________ _______,__,male,SCB,G,,Friday,2018/07
“_____________________________”,__,female,MA,I,,Friday,2018/07
