before,after
"可是有些绝种贱男，真的不知自爱，自强。一见到女人，不管好坏，美丑。立即跪舔。真他妈贱。
",绝种 贱 男 ， 不知自爱 ， 自强 。 女人 ， 好坏 ， 美丑 。 跪 舔 。 真他妈 贱 。 
"同感  秋水渣的不能再渣  主角光环简直无敌  放现实中  这样撇不清说不明的三角关系  秋水怕早被踹了吧
",同感     秋水 渣 渣     主角 光环 无敌     放 现实 中     撇不清 不明 三角 关系     秋水 早 踹 
"“生女孩等于断子绝孙，绝户了”：静静围观多出的几千万男性，如何靠自己做到不断子绝孙
",“ 生 女孩 等于 断子绝孙 ， 绝户 ” ： 静静 围观 多出 几千万 男性 ， 断子绝孙 
"""这种心态其实就是人的常态啊，希望借助她人帮她改成自己想要的。这就有点像在我国jc处理家暴，接警后把男的抓走，然后女的就开始撒泼了。我始终记得一句话就是，哎呀，我就只是希望你们让他改好就行了",""" 心态 常态 ， 希望 借助 帮 改成 想要 。 有点像 我国 jc 家暴 ， 接警 男 抓走 ， 女 撒泼 。 始终 记得 话 ， ， 希望 改好 就行了 "
"现在确实有很多伪女权，打着女权主义的旗号玩着双标，她们的立场都站是在自己有利的一边。但小姐姐和她们不一样，我觉得小姐姐有思想也有立场，至于知乎上那个以偏概全否定一类人的言论，本来就是思考不严谨带有偏见，就算讨论的不是女权主义是其他，他们的思维模式依然如此，小姐姐不必在意这种言论啦
",伪 女权 ， 打着 女权主义 旗号 玩着 双标 ， 立场 站 。 小姐姐 ， 小姐姐 思想 立场 ， 知乎 以偏概全 否定 一类 言论 ， 本来 思考 严谨 带有 偏见 ， 讨论 女权主义 ， 思维 模式 依然 ， 小姐姐 在意 言论 
"我真是笑死 农村妇女靠男人养？农村妇女是男人的奴隶才对，农村男压榨她们的劳动力，做农活做家务养孩子样样都来，还要不断给男人下崽，多的是农村妇女涌到大城市打工，大把低端岗位 体力劳动 重复性工作 不需要学历和文化 有条命能动弹就行 我劝你早点从你的女人靠男人养的梦里醒来，谢谢
",笑 死   农村妇女 男人 养 ？ 农村妇女 男人 奴隶 ， 农村 男 压榨 劳动力 ， 做 农活 做 家务 养 孩子 样样 ， 男人 崽 ， 农村妇女 涌到 大城市 打工 ， 低端 岗位   体力劳动   重复性 工作   学历 文化   条命 动弹 就行   劝 早点 女人 男人 养 梦里 醒来 ， 谢谢 
"""躲在角落里没人理的垃圾真是可怜 抱着你公狗爸一起死吧",""" 躲 角落里 人理 垃圾 可怜   抱 公狗 爸 死 "
"兄弟们看见没，炸出三只女权婊咯，可以
",兄弟 ， 炸 三只 女权 婊咯 ， 
"男人怕女人有文化就是心理阳痿的弱b心态，就像生理阳痿的只敢找处女一样
",男人 女人 文化 心理 阳痿 弱 b 心态 ， 生理 阳痿 敢找 处女 
"是，有江西男的跟我说“女子无才便是德”，又尼玛没事跟我聊几句天想diss我，还跟我讲他会怎么教育他女儿，没错，就是女奴那套。我回他：你女儿真惨！你不要跟我扯淡了，没事就回家帮你老婆带孩子吧。
",， 江西 男 “ 女子 无才 便是 德 ” ， 尼玛 没事 聊 几句 天想 diss ， 讲 教育 女儿 ， 没错 ， 女奴 那套 。 回 ： 女儿 真惨 ！ 扯淡 ， 没事 回家 帮 老婆 孩子 。 
"这男的真没出息，理论不能赢就胡搅蛮缠，简直不可理喻。这种人真的都不配让我们和他讲道理，要么就是蠢真听不懂，要么就是假装听不懂
",男 真 没出息 ， 理论 赢 胡搅蛮缠 ， 不可理喻 。 不配 讲道理 ， 蠢真 听不懂 ， 假装 听不懂 
"哈哈哈哈 今天周末看木木微博这些弱男屌丝的diss 如此输不起的他们看着真好笑
",哈哈哈哈   周末 看木木 微博 弱 男 屌丝 diss   输不起 真 好笑 
"嗯……每当我严肃的给男人们科普知识的时候，他们要么含糊着嗯嗯嗯一副他不了解聊不下去了的样子赶紧转移话题，要么哈哈哈又来科普了你好烦我的脑子需要清静不需要知识，要么哦，要么太晚了我们睡吧。女人们就不一样了，她们会夸奖我好厉害哦要我当她们的男朋友。
",… … 严肃 男人 科普知识 ， 含糊 一副 聊 赶紧 转移 话题 ， 哈哈哈 科普 你好 烦 脑子 清静 知识 ， ， 太晚 睡 。 女 ， 夸奖 厉害 男朋友 。 
"骗不懂女人了就骂就打压，掌握不住特权了就跳脚真是滑稽。屌癌真是用屌思考，智商捉急
",骗 懂 女人 骂 打压 ， 不住 特权 跳脚 滑稽 。 屌 癌 屌 思考 ， 智商 捉急 
"你妈天天被你操哟，请问你妈下面逼癌了吗，你用假阳具上你妈，你的狗爹知道吗
",妈 天天 操哟 ， 请问 妈 逼癌 ， 假 阳具 妈 ， 狗 爹 
"我从小就被人这么说“哎哟牙尖嘴利 一点亏吃不得 一点苦受不了 咄咄逼人 性格霸道 哪个男人要你哦” 我： 这不就对了吗？
",“ 牙 尖嘴利   一点 亏 吃不得   一点 苦 受不了   咄咄逼人   性格 霸道   男人 ”   ：   ？ 
"女方婚后轻松快乐离婚还能分到财产继续过舒服日子，太不公平啦！妒忌啊！才是恨的根源。
",女方 婚后 轻松 快乐 离婚 分到 财产 舒服 日子 ， 太 公平 ！ 妒忌 ！ 恨 根源 。 
"不过像他这样的也只会回家骂老婆“怎么教养孩子的”吧。子不教，家庭主妇妈妈之过。反正不是他们这样干大事的尊贵男人的错
",只会 回家 骂 老婆 “ 教养 孩子 ” 。 子不教 ， 家庭主妇 妈妈 。 反正 干 尊贵 男人 错 
"如果他此生只能天天搬砖，她此生被骂2胎还生不出男婴。这样的群体心里清楚这辈子就这样了
",此生 天天 搬 砖 ， 此生 骂 2 胎 生不出 男婴 。 群体 这辈子 
"女子无才便是德 最好啥都不懂 最好还年轻
",女子 无才 便是 德   懂   年轻 
"翻译过来就是你这么聪明，这么有女本位意识，这么有自我保护意识，哪个男人能够吸你的血，让男人占不到便宜我就要打压你
",翻译 聪明 ， 女 本位 意识 ， 自我 保护意识 ， 男人 吸 血 ， 男人 占 便宜 打压 
"男人欺压男人代价较高。压榨善于奉献又容易被道德绑架生活在洗脑环境里的女人可是不会手软的
",男人 欺压 男人 代价 高 。 压榨 善于 奉献 道德 绑架 生活 洗脑 环境 里 女人 手软 
"出轨并不能认定过错，不能法律强行“净身出户”或给受害一方大笔赔偿，突然想到婚内出轨难道不是男性较多吗，那不还是女的在吃亏吗？！被出轨了想离婚还不能合法得到绝大多数财产？！
",出轨 认定 过错 ， 法律 强行 “ 净身 出户 ” 受害 一方 大笔 赔偿 ， 想到 婚内 出轨 男性 ， 女 吃亏 ？ ！ 出轨 想 离婚 合法 绝大多数 财产 ？ ！ 
"确实不能 好多被出轨的女人还光屁股滚蛋了
",  好多 出轨 女人 光屁股 滚蛋 
"哈哈哈 傻b男人太多 不太懂 我就自己偷着乐
",哈哈哈   傻 b 男人 太   不太懂   偷着乐 
"对，太弱，经不起女人有头脑，一旦你有觉悟马上讽刺你打击你
",， 太弱 ， 经不起 女人 头脑 ， 觉悟 讽刺 打击 
"你应该跟他说 男人那么多出轨的也没净身出户啊。法律面前人人平等，这才叫男女平等
",  男人 出轨 净身 出户 。 法律 人人平等 ， 这才 男女平等 
"在一些男人眼里  有本事的女人可能比妓女还不如   自己搞不到的最好死掉  才比较让人舒心些
",男人 眼里     本事 女人 妓女       搞不到 死 掉     舒心 
"就是呀，从量上一直就是女的被这条法律坑的多，好不容易出个女的能用这条去恶心男的，高兴都来不及，结果好多女人还再骂她……
",， 从量 女 这条 法律 坑 ， 好不容易 出个 女 这条 恶心 男 ， ， 好多 女人 骂 … … 
"既然要男女平等，一切用在男人上挪到女人上面认为不合理的，都是耍流氓。
",男女平等 ， 男人 挪到 女人 不合理 ， 耍流氓 。 
"""再不然塞隆也可以。只拍拖不结婚，领养孩子。",""" 再不然 塞隆 。 拍拖 结婚 ， 领养 孩子 。 "
"逼癌女犬天天狗吠也是个卖不出去没人要的劣质b啊，可怜你只好跟你妈玩拉拉了，被你妈用手指操了很多次了吧婊子
",逼癌 女犬 天天 狗吠 卖不出去 没人要 劣质 b ， 可怜 只好 妈 玩 拉拉 ， 妈用 手指 操 婊子 
"娱乐圈出轨的男的多得数不过来，也没见哪个被骂得像马蓉那么惨，照样混的风生水起呀
",娱乐圈 出轨 男 得数 ， 没见 骂 马蓉 惨 ， 照样 混 风生水 
"我的女朋友们有的觉得挺好，有的觉得，你一未婚未育的女生知道的也太多了吧，你想那么多你不累吗？你规划那么好到时候还是赶不上变化！你这么强势你不适合结婚！
",女朋友 挺 ， ， 未婚 未育 女生 太 ， 想 不累 ？ 规划 到时候 赶不上 变化 ！ 强势 适合 结婚 ！ 
"对于某些女人来说，只要男人的想法跟她不一样就是屌癌无疑了
",女人 ， 男人 想法 屌 癌 无疑 
"女权癌也挺可怕，斗殴中只要是一男一女，不问是非直接一句 不管如何打女人就是不对 明明打人不对被说成打女人不对
",女权 癌 挺 可怕 ， 斗殴 中 一男一女 ， 是非   女人   明明 打人 成 女人 
"百度女权吧确实是连基佬一起批斗的
",百度 女权 基佬 批斗 
"喷msl被说少管我们爱看什么，然后表示抗议就被说是容易感觉被迫害的直男癌
",喷 msl 少管 爱看 ， 抗议 感觉 迫害 直 男癌 
"基本上只要是男的都是直男癌，只要网上发言的都是键盘侠。
",男 直 男癌 ， 网上 发言 键盘 侠 。 
"国内网络上活跃度最高的其实多数都是基进派女权（特点是总是提父权），这类思潮在北美80年代特别火，后来没落很重要原因就是被LGBT打的太惨。有个经典问题，生理性别的女性为什么不能在后天选择做男人呢？做了这类选择的女性也变成父权压迫者的一份子了吗？
",国内 网络 活跃度 基进 派 女权 （ 提 父权 ） ， 类 思潮 北美 80 年代 特别 火 ， 没落 原因 LGBT 太惨 。 有个 经典 ， 生理性 女性 后天 选择 做 男人 ？ 做 这类 选择 女性 父权 压迫者 一份 子 ？ 
"不跪在地上给女人磕头喊祖宗的都是直男癌有什么问题吗？
",跪 地上 女人 磕头 喊 祖宗 直 男癌 ？ 
"我很佩服国外一些真·女权人士 为追求平等权利  而国内大部分都是田园女权 基本上都是为了拿特权
",佩服 国外 真 · 女权 人士   追求 平等权利     国内 田园 女权   特权 
"你跟女权讲道理？摸着花衬衫自问一下，Feminazi啊，女人和纳粹哪个是讲道理的对象
",女权 讲道理 ？ 摸 花 衬衫 自问 ， Feminazi ， 女人 纳粹 讲道理 对象 
"emmmmmmmm直男癌没有门槛吗，直男癌会员是那么好拿的吗？？？
",emmmmmmmm 直男癌 门槛 ， 直男癌 会员 ？ ？ ？ 
"我感觉极端女权的话心底更期待除了她们小团体其他都是屌癌，不然没法战斗
",感觉 女权 心底 期待 小团体 屌 癌 ， 没法 
"中国女权婊还拿“基佬”当骂人的话呢，怕是要被lgbt吊起来打。
",中国 女权 婊 “ 基佬 ” 骂人 ， lgbt 吊起来 。 
"喏 看看一口一个女权婊的人都是些什么人你就明白一口一个直男癌的人是什么人了 我向来主张这俩类人消消乐了 不要出来祸害正常人
",  一口 女权 婊 一口 直男癌   向来 俩 类人 消消 乐   祸害 正常人 
"用婊来形容女人本来就是不尊重，除非她真的是。
",婊来 形容 女人 本来 尊重 ， 。 
"“国外”也不是那么美好吧，你看欧美的女权组织多少在跪舔伊斯兰……
",“ 国外 ” 美好 ， 欧美 女权 组织 跪 舔 伊斯兰 … … 
"女权是追求平等，性别淡化，社会分工靠能力而不是性别，ps轻抚女权婊狗头
",女权 追求 平等 ， 性别 淡化 ， 社会分工 能力 性别 ， ps 轻抚 女权 婊 狗头 
"这几天新闻女权表们已经集体高潮了！而且嘴巴特脏。在她们眼里只有要啥买啥说啥听啥有钱跪舔她们的才不是渣男，其余全是，孝顺父母即是妈宝男…女人要是自杀了一定是背后有个渣男，男人自杀了，一个字：该
",几天 新闻 女权 表们 集体 高潮 ！ 嘴巴 特脏 。 眼里 买 听 有钱 跪 舔 渣 男 ， 全是 ， 孝顺父母 妈宝 男 … 女人 自杀 背后 有个 渣 男 ， 男人 自杀 ， 字 ： 
"女权婊是非常超市基佬的，真的是莫名
",女权 婊是 超市 基佬 ， 莫名 
"港真，骗婚的又不止女的，男的骗婚骗肚子的也大有人在
",港真 ， 骗婚 女 ， 男 骗婚 骗 肚子 大有人在 
"女的被家暴致死，然后男的才判六年的时候有多少个男性发声呢，真是……总是带节奏批判女权
",女 家暴 致死 ， 男 判 六年 男性 发声 ， … … 节奏 批判 女权 
"看过很多女生对【性】避而不谈或者说羞于提起，把无知当单纯🙃
",看过 女生 【 性 】 避而不谈 或者说 羞于 提起 ， 无知 🙃 
"女性可以跟男性谈房子谈车子谈彩礼，那我觉得要不要孩子也应该婚前讲清楚，否则何必两个人互相耽误？如果本身就不想要孩子，还想着结婚了再说，那我强烈支持男方提出离婚，这么重大的分歧，为什么不离？
",女性 男性 谈 房子 谈 车子 谈 彩礼 ， 孩子 婚前 讲清楚 ， 耽误 ？ 想要 孩子 ， 想着 结婚 ， 支持 男方 提出 离婚 ， 分歧 ， ？ 
"女权婊有本事用大号，不然把你妈按在地上摩擦//
",女权 婊有 本事 用大号 ， 妈 地上 摩擦 / / 
"那是田园女权表，或者叫女尊癌。完全不懂女权含义，简直要分裂世界灭光男人一样
",田园 女权 表 ， 女 尊癌 。 懂 女权 含义 ， 分裂 世界 灭光 男人 
"你老爸操了你屁眼你男友操了你妈你才这么仇男吧
",老爸 操 屁眼 男友 操 妈 仇 男 
"我现在是懒得和傻屌女奴争论了，让他们活在自己的世界就好了，来乱吠的就马上拉黑
",懒得 傻 屌 女奴 争论 ， 活在 世界 ， 来乱 吠 马上拉 黑 
"""女性格局太小，自身的局限性很大，大多数女人很无聊的，我讨厌自己的女性角色，但其实我连人都不想当人，反人类了",""" 女性 格局 太小 ， 局限性 很大 ， 女人 无聊 ， 讨厌 女性 角色 ， 不想 当人 ， 反 人类 "
"婊子还有粉 。日你妈 估计跟那婊子一样的货色
",婊子 粉   。 日 妈   估计 婊子 货色 
"""关于为什么韩某人会有粉丝，那些是一群伪女权支持者，她所提及的女权网站名声并不好，而且那网站讨论和支持强奸伤害男童，歧视男性",""" 韩 某人 粉丝 ， 一群 伪 女权 支持者 ， 提及 女权 网站 名声 不好 ， 网站 讨论 支持 强奸 伤害 男童 ， 歧视 男性 "
"""等着她重操旧业复吸吧",""" 重操旧业 复吸 "
"这个臭婊子怎么还不赶紧去死，就没人能治的了她了吗？
",婊子 赶紧 死 ， 没人 能治 ？ 
"我国女权就是被这帮人搞臭的，说句难听点的话，她们爸爸要是当初知道自己女儿让自己早死说不定当初就没有她们了
",我国 女权 这帮 搞臭 ， 说句 难听 点 ， 爸爸 当初 女儿 早死 说不定 当初 
"一个观察，田园女权的拥护者大都家庭不幸或有过被一些垃圾男性伤害过的经历，导致他们对男性这个群体的很大的恶意。不过话又说回来，中国有13多亿人，不出几个sb你以为你活在天堂
",观察 ， 田园 女权 拥护者 家庭 不幸 垃圾 男性 伤害 经历 ， 导致 男性 群体 很大 恶意 。 话 回来 ， 中国 13 多亿 ， sb 你活 天堂 
"""不是……参与骂战的是真女权，女利不会参与骂战的。所以说，这个骂战可真是拎不清？",""" … … 参与 骂战 真 女权 ， 女利 参与 骂战 。 ， 骂 战可 拎不清 ？ "
"在公共平台上讲完每一步的预谋细节还认为自己这样预谋毫无错误，带一波节奏男人都这样，为强奸犯找理由给女人洗脑应该就不是无所谓了吧。
",公共 平台 讲完 一步 预谋 细节 预谋 错误 ， 一波 节奏 男人 ， 强奸犯 找 理由 女人 洗脑 无所谓 。 
"""她，真的是让人一言难尽，特别是黄轩那次，我的天",""" ， 一言难尽 ， 特别 黄轩 那次 ， 天 "
"中国的女权也没闲着，她们虽然不必再冠以夫姓，但是她们企图让子女随母姓
",中国 女权 闲着 ， 冠以 夫姓 ， 子女 随母 姓 
"事实上，在“女权”运动日益高涨的同时，在自己名字前冠夫姓的女人也越来越多。她们似乎认为这比较时髦。这几年收到好些名片都是这类名字。其实旧中国也并没有将夫姓与本姓并列这个做法，而是直接改夫姓。//
",事实上 ， “ 女权 ” 运动 高涨 ， 名字 前冠 夫姓 女人 越来越 。 时髦 。 几年 收到 好些 名片 这类 名字 。 旧 中国 夫姓 本姓 并列 做法 ， 改 夫姓 。 / / 
"你拉鸡八倒吧，法律还说人人平等呢   ， 现实 真的 人人平等了吗？ 真是 搞笑的很。  现实什么样， 你看不到 还是你装作看不到？
",你拉鸡 八倒 ， 法律 人人平等       ，   现实     人人平等 ？     搞笑 。     现实 ，   看不到   装作 看不到 ？ 
"""房子男方，车子男方，喜宴男方，婚庆男方。呵呵。小孩跟女方姓。中国又不是没入赘上门女婿。",""" 房子 男方 ， 车子 男方 ， 喜宴 男方 ， 婚庆 男方 。 。 小孩 女方 姓 。 中国 入赘 上门 女婿 。 "
"身边的人自动默认我的姓就随我老公姓，我解释后有好几次被问是不是单身母亲，很讨厌。
",身边 自动 默认 姓 老公 姓 ， 解释 几次 问 单身 母亲 ， 讨厌 。 
"之间只能选一个，那就选传统吧。如果选女方姓就做上门女婿吧。
",选 ， 选 传统 。 选 女方 姓 做 上门 女婿 。 
"从历史上看，女性婚后随夫姓的传统来源于信仰，同时得到法律的规范。结婚后女性改随夫姓是美国人的传统，女性婚后坚持用自己的姓面临的社会压力较大。。。附属品就是附属品，这绝不是大男子主义
",历史 ， 女性 婚后 夫姓 传统 来源于 信仰 ， 法律 规范 。 结婚 女性 改随 夫姓 美国 传统 ， 女性 婚后 姓 面临 社会 压力 较大 。 。 。 附属品 附属品 ， 大男子主义 
"""因为领导社会规范的不仅仅有法律，还有传统文化，你个白痴弱智",""" 领导 社会规范 法律 ， 传统 文化 ， 白痴 弱智 "
